accession	organism	vclass	cell	locus_idx	contig	coverage	identity	aligned_aa	frameshifts	stop_codons	lesions	lesion_density	contig_edge	n_gap	longest_n_run	annot_gene	annot_paralog_matches	contig_n50	contig_spans_gene	scored	verdict	verdict_reason
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	0	JMFS01131396.1	0.3343	0.9925	929	0	0	0	0	1	0	0		0	17412	0	0	not_scored	coverage 0.33 < 0.7
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	0	KL263936.1	0.387	0.9542	1045	0	0	0	0	0	0	31		0	17412	0	0	not_scored	coverage 0.39 < 0.7
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	0	KL257532.1	0.8239	0.9903	2195	1	0	1	0.4556	1	0	0		0	17412	0	1	intact	density 0.46 <= bar 1.59
GCA_000699545.1	Podiceps cristatus	Aves	RYR	0	KL283962.1	0.4775	0.9836	2372	0	0	0	0	1	1	446		0	17412	0	0	not_scored	coverage 0.48 < 0.7
GCA_000699545.1	Podiceps cristatus	Aves	RYR	1	JMFS01114174.1	0.4394	0.6926	2191	0	0	0	0	1	0	0		0	17412	0	0	not_scored	coverage 0.44 < 0.7
GCA_000699545.1	Podiceps cristatus	Aves	RYR	2	KL256588.1	0.2353	0.976	1169	0	0	0	0	1	0	64		0	17412	0	0	not_scored	coverage 0.24 < 0.7
GCA_000699945.1	Cathartes aura	Aves	ITPR2	0	KL291012.1	0.3752	0.9852	1013	0	0	0	0	0	0	92		0	15248	0	0	not_scored	coverage 0.38 < 0.7
GCA_000699945.1	Cathartes aura	Aves	ITPR3	0	KL301852.1	0.7477	0.9781	1992	0	0	0	0	1	0	42	N323_11390	0	15248	0	1	intact	density 0.00 <= bar 1.59
GCA_000699945.1	Cathartes aura	Aves	RYR	0	KL299849.1	0.4831	0.9858	2400	0	0	0	0	1	1	164		0	15248	0	0	not_scored	coverage 0.48 < 0.7
GCA_000699945.1	Cathartes aura	Aves	RYR	1	KL309451.1	0.2593	0.7195	1288	1	0	1	0.7764	1	0	42		0	15248	0	0	not_scored	coverage 0.26 < 0.7
GCA_000699945.1	Cathartes aura	Aves	RYR	2	KL332051.1	0.2589	0.6357	1290	0	0	0	0	1	1	115		0	15248	0	0	not_scored	coverage 0.26 < 0.7
GCA_000699945.1	Cathartes aura	Aves	RYR	3	KL320477.1	0.1556	0.9715	773	0	0	0	0	1	1	143		0	15248	0	0	not_scored	coverage 0.16 < 0.7
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	0	CM008031.1	1	0.8879	2758	1	0	1	0.3626	0	1	7797		0	7944	0	1	intact	density 0.36 <= bar 1.59
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	0	CM008029.1	1	0.8296	2701	1	0	1	0.3702	0	1	13045		0	7944	0	1	intact	density 0.37 <= bar 1.59
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	0	CM008022.1	0.9974	0.8775	4954	0	1	1	0.2019	0	1	14536		0	7944	0	1	intact	density 0.20 <= bar 1.59
