accession	cell	min_sufficient_identity
GCA_000699545.1	ITPR3	0.7351
GCA_000699945.1	ITPR3	0.7354
GCA_002197005.1	ITPR1	0.7362
GCA_002197005.1	ITPR2	0.6349
GCA_002197005.1	RYR	0.5993
GCA_002844005.1	ITPR3	0.6491
GCA_002844005.1	RYR	0.6651
GCA_003113815.1	ITPR1	0.8199
GCA_003113815.1	ITPR2	0.7459
GCA_003113815.1	ITPR3	0.7583
GCA_003113815.1	RYR	0.6562
GCA_004320025.1	RYR	0.6529
GCA_006937325.1	ITPR1	0.7856
GCA_006937325.1	ITPR2	0.7232
GCA_006937325.1	ITPR3	0.7295
GCA_006937325.1	RYR	0.6149
GCA_007760645.1	ITPR1	0.8243
GCA_007760645.1	ITPR2	0.7379
GCA_007760645.1	ITPR3	0.7437
GCA_007760645.1	RYR	0.6599
GCA_008658365.1	ITPR1	0.8247
GCA_008658365.1	ITPR2	0.751
GCA_008658365.1	ITPR3	0.7502
GCA_008658365.1	RYR	0.6643
GCA_009769605.1	ITPR1	0.8239
GCA_009769605.1	ITPR2	0.7498
GCA_009769605.1	ITPR3	0.7569
GCA_009769605.1	RYR	0.6604
GCA_009819775.1	ITPR1	0.8258
GCA_009819775.1	ITPR2	0.7475
GCA_009819775.1	ITPR3	0.7542
GCA_009819775.1	RYR	0.6651
GCA_010411085.1	ITPR1	0.821
GCA_010411085.1	ITPR2	0.7442
GCA_010411085.1	ITPR3	0.7383
GCA_010411085.1	RYR	0.6623
GCA_011823955.1	ITPR1	0.8181
GCA_011823955.1	ITPR2	0.7629
GCA_011823955.1	ITPR3	0.7178
GCA_011823955.1	RYR	0.6428
GCA_013389825.1	ITPR1	0.8242
GCA_013389825.1	ITPR2	0.7504
GCA_013389825.1	RYR	0.6503
GCA_013389885.1	ITPR1	0.8251
GCA_013389965.1	ITPR3	0.728
GCA_013389965.1	RYR	0.5512
GCA_013389985.1	ITPR1	0.8243
GCA_013389985.1	ITPR2	0.6962
GCA_013389985.1	ITPR3	0.7511
GCA_013390065.1	ITPR1	0.8146
GCA_013390065.1	ITPR2	0.7362
GCA_013390065.1	ITPR3	0.6977
GCA_013390065.1	RYR	0.6577
GCA_013390105.1	ITPR3	0.7542
GCA_013396355.1	ITPR1	0.8205
GCA_013396355.1	ITPR2	0.7472
GCA_013396355.1	ITPR3	0.7546
GCA_013396355.1	RYR	0.6628
GCA_013396465.1	ITPR1	0.8257
GCA_013396465.1	ITPR2	0.7511
GCA_013396465.1	ITPR3	0.6221
GCA_013396465.1	RYR	0.6633
GCA_013396485.1	ITPR1	0.8219
GCA_013396485.1	ITPR2	0.7467
GCA_013396485.1	RYR	0.6625
GCA_013396675.1	ITPR1	0.8249
GCA_013396675.1	ITPR3	0.758
GCA_013396675.1	RYR	0.6549
GCA_013396835.1	ITPR1	0.8356
GCA_013396835.1	ITPR3	0.7554
GCA_013396835.1	RYR	0.628
GCA_013396875.1	ITPR1	0.8241
GCA_013396875.1	ITPR2	0.7487
GCA_013396875.1	ITPR3	0.7552
GCA_013396875.1	RYR	0.6638
GCA_013396935.1	ITPR2	0.7472
GCA_013396935.1	ITPR3	0.748
GCA_013396975.1	ITPR1	0.8258
GCA_013397015.1	ITPR1	0.8255
GCA_013397015.1	ITPR2	0.7502
GCA_013397015.1	ITPR3	0.7554
GCA_013397015.1	RYR	0.6638
GCA_013397245.1	ITPR2	0.7343
GCA_013397295.1	ITPR2	0.7482
GCA_013397295.1	ITPR3	0.7364
GCA_013397295.1	RYR	0.6622
GCA_013397395.1	ITPR1	0.8241
GCA_013397395.1	ITPR2	0.7464
GCA_013397395.1	ITPR3	0.7189
GCA_013397395.1	RYR	0.664
GCA_013397465.1	ITPR1	0.8199
GCA_013397465.1	ITPR2	0.7493
GCA_013397465.1	ITPR3	0.7545
GCA_013397495.1	ITPR2	0.7489
GCA_013397495.1	RYR	0.6616
GCA_013397535.1	ITPR1	0.8244
GCA_013397535.1	ITPR2	0.7523
GCA_013397535.1	ITPR3	0.75
GCA_013397535.1	RYR	0.661
GCA_013397635.1	ITPR1	0.8091
GCA_013397635.1	ITPR2	0.7403
GCA_013397635.1	RYR	0.6567
GCA_013397815.1	ITPR1	0.8268
GCA_013397815.1	ITPR2	0.7513
GCA_013397815.1	ITPR3	0.7492
GCA_013397815.1	RYR	0.6623
GCA_013397895.1	ITPR1	0.8252
GCA_013397895.1	ITPR2	0.7473
GCA_013397895.1	ITPR3	0.7441
GCA_013397895.1	RYR	0.663
GCA_013397955.1	ITPR1	0.8252
GCA_013397955.1	ITPR2	0.7464
GCA_013397955.1	ITPR3	0.7468
GCA_013397955.1	RYR	0.6625
GCA_013398125.1	ITPR1	0.8236
GCA_013398125.1	ITPR3	0.7441
GCA_013398125.1	RYR	0.6623
GCA_013398155.1	ITPR1	0.8201
GCA_013398155.1	ITPR2	0.7486
GCA_013398155.1	ITPR3	0.7494
GCA_013398155.1	RYR	0.6621
GCA_013398175.1	ITPR1	0.8255
GCA_013398175.1	ITPR2	0.7504
GCA_013398175.1	ITPR3	0.7581
GCA_013398175.1	RYR	0.6652
GCA_013398455.1	ITPR1	0.8194
GCA_013398455.1	ITPR2	0.7485
GCA_013398455.1	ITPR3	0.7597
GCA_013398455.1	RYR	0.6629
GCA_013398575.1	ITPR1	0.8376
GCA_013398575.1	ITPR2	0.7389
GCA_013398575.1	ITPR3	0.7468
GCA_013398575.1	RYR	0.6563
GCA_013398615.1	ITPR1	0.8246
GCA_013398615.1	ITPR2	0.7499
GCA_013398615.1	ITPR3	0.721
GCA_013398615.1	RYR	0.6623
GCA_013398795.1	ITPR1	0.8241
GCA_013398795.1	ITPR2	0.7456
GCA_013398795.1	RYR	0.6602
GCA_013398835.1	ITPR2	0.7491
GCA_013398835.1	ITPR3	0.7045
GCA_013398835.1	RYR	0.6556
GCA_013398935.1	ITPR1	0.825
GCA_013398935.1	ITPR2	0.7444
GCA_013398935.1	RYR	0.6644
GCA_013398955.1	ITPR2	0.75
GCA_013398955.1	ITPR3	0.7516
GCA_013398955.1	RYR	0.6639
GCA_013398975.1	ITPR2	0.7498
GCA_013398975.1	ITPR3	0.7503
GCA_013398975.1	RYR	0.6622
GCA_013399035.1	ITPR3	0.757
GCA_013399035.1	RYR	0.6561
GCA_013399075.1	ITPR1	0.8242
GCA_013399075.1	ITPR2	0.7401
GCA_013399075.1	ITPR3	0.7504
GCA_013399075.1	RYR	0.6502
GCA_013399305.1	ITPR1	0.8164
GCA_013399305.1	ITPR2	0.749
GCA_013399305.1	ITPR3	0.7515
GCA_013399305.1	RYR	0.6487
GCA_013399395.1	ITPR1	0.8254
GCA_013399395.1	ITPR2	0.6805
GCA_013399395.1	ITPR3	0.7558
GCA_013399455.1	ITPR1	0.8237
GCA_013399495.1	ITPR1	0.8232
GCA_013399495.1	ITPR2	0.7406
GCA_013399495.1	ITPR3	0.7565
GCA_013399495.1	RYR	0.6587
GCA_013399565.1	ITPR1	0.8262
GCA_013399565.1	ITPR3	0.7583
GCA_013399565.1	RYR	0.6636
GCA_013399735.1	ITPR1	0.8232
GCA_013399735.1	ITPR3	0.7466
GCA_013399735.1	RYR	0.6402
GCA_013399775.1	ITPR3	0.7573
GCA_013399795.1	ITPR2	0.7475
GCA_013399795.1	ITPR3	0.7538
GCA_013399795.1	RYR	0.6559
GCA_013399855.1	ITPR1	0.8242
GCA_013399855.1	ITPR2	0.7475
GCA_013399855.1	ITPR3	0.752
GCA_013399855.1	RYR	0.6629
GCA_013399895.1	ITPR1	0.8219
GCA_013399895.1	ITPR2	0.7493
GCA_013399895.1	ITPR3	0.7562
GCA_013399895.1	RYR	0.6617
GCA_013400075.1	ITPR2	0.7492
GCA_013400075.1	ITPR3	0.7522
GCA_013400075.1	RYR	0.6647
GCA_013400195.1	ITPR1	0.8273
GCA_013400195.1	ITPR2	0.753
GCA_013400195.1	ITPR3	0.7556
GCA_013400195.1	RYR	0.6618
GCA_013400215.1	ITPR1	0.8126
GCA_013400215.1	ITPR2	0.7476
GCA_013400215.1	ITPR3	0.7454
GCA_013400215.1	RYR	0.6615
GCA_013400415.1	ITPR1	0.8247
GCA_013400415.1	ITPR2	0.7433
GCA_013400415.1	ITPR3	0.7547
GCA_013400415.1	RYR	0.6598
GCA_013400445.1	ITPR2	0.7504
GCA_013400445.1	ITPR3	0.7573
GCA_013400445.1	RYR	0.6601
GCA_013400515.1	ITPR1	0.8229
GCA_013400515.1	ITPR2	0.7477
GCA_013400515.1	ITPR3	0.752
GCA_013400585.1	ITPR1	0.8238
GCA_013400585.1	ITPR2	0.7477
GCA_013400585.1	ITPR3	0.7515
GCA_013400635.1	ITPR3	0.7539
GCA_013400655.1	ITPR2	0.6805
GCA_013400735.1	ITPR3	0.7318
GCA_013400815.1	ITPR2	0.7525
GCA_013400815.1	ITPR3	0.7529
GCA_013400815.1	RYR	0.6602
GCA_013400895.1	ITPR1	0.8087
GCA_013400895.1	ITPR3	0.7553
GCA_013400915.1	RYR	0.6618
GCA_013400955.1	ITPR1	0.7983
GCA_013400955.1	ITPR3	0.754
GCA_013400955.1	RYR	0.6615
GCA_013400995.1	ITPR2	0.7361
GCA_013400995.1	ITPR3	0.7288
GCA_013401195.1	ITPR2	0.7507
GCA_013401195.1	RYR	0.6617
GCA_013401255.1	ITPR1	0.8283
GCA_013401255.1	RYR	0.6621
GCA_013401295.1	ITPR1	0.8239
GCA_013401295.1	ITPR2	0.7409
GCA_013401295.1	RYR	0.6612
GCA_013401315.1	ITPR1	0.8104
GCA_013401315.1	ITPR3	0.7398
GCA_013401355.1	ITPR2	0.7425
GCA_014281875.1	ITPR1	0.8245
GCA_014281875.1	ITPR2	0.7605
GCA_014281875.1	ITPR3	0.7111
GCA_014281875.1	RYR	0.6489
