accession	organism	vclass	cell	status	grade	found	control	control_reason	false_negative	s15_state	s15_rule	level	annotated_assembly	annotation_source	contig_n50	scaffold_n50	total_length_bp	spans_gene	best_coverage	recon_coverage
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	17412	30087	1134922578	0	0.3343	0.0
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	fragment	fragment	0	itpr_present	S15a present_partial (R3)	1	present_partial	R3	Scaffold	Y	GenBank	17412	30087	1134922578	0	0.387	0.0
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	17412	30087	1134922578	0	0.8239	0.0
GCA_000699545.1	Podiceps cristatus	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	17412	30087	1134922578	0	0.4775	0.0
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	15248	36359	1152571117	0	0.0	0.8374
GCA_000699945.1	Cathartes aura	Aves	ITPR2	fragment	fragment	0	itpr_present	S15a present_partial (R3)	1	present_partial	R3	Scaffold	Y	GenBank	15248	36359	1152571117	0	0.3752	0.0
GCA_000699945.1	Cathartes aura	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	15248	36359	1152571117	0	0.7477	0.0
GCA_000699945.1	Cathartes aura	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	15248	36359	1152571117	0	0.4831	0.0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	7944	107358006	3438623608	0	1.0	0.0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	7944	107358006	3438623608	0	1.0	0.0
