run	database	round	new_targets	n_included	n_own	n_sister	n_offfamily	sister_frac	sister_rise	growth	offfamily_frac	offfamily_rise	accepted
itpr1_human	vertebrata	1	5934	5934	2608	1910	1416	0.3219	0.0		0.2386	0.0	1
itpr1_human	vertebrata	2	681	6613	2608	2110	1895	0.3191	-0.0028	1.11	0.2866	0.048	1
itpr1_human	vertebrata	3	71	6683	2608	2146	1929	0.3211	-0.0008	1.01	0.2886	0.002	1
itpr1_human	vertebrata	4	42	6725	2608	2156	1961	0.3206	-0.0013	1.01	0.2916	0.003	1
itpr1_human	vertebrata	5	452	7176	2608	2160	2408	0.301	-0.0209	1.07	0.3356	0.044	1
itpr1_human	vertebrata	6	20	7194	2608	2161	2425	0.3004	-0.0215	1.0	0.3371	0.0015	1
itpr1_human	vertebrata	7	6	7199	2608	2164	2427	0.3006	-0.0213	1.0	0.3371	0.0	1
itpr1_human	vertebrata	8	12	7210	2608	2174	2428	0.3015	-0.0204	1.0	0.3368	-0.0003	1
itpr1_human	vertebrata	9	9	7219	2608	2179	2432	0.3018	-0.0201	1.0	0.3369	0.0001	1
itpr1_human	vertebrata	10	3	7222	2608	2182	2432	0.3021	-0.0198	1.0	0.3367	-0.0002	0
itpr_fly	vertebrata	1	5914	5914	2608	1915	1391	0.3238	0.0		0.2352	0.0	1
itpr_fly	vertebrata	2	695	6609	2608	2104	1897	0.3184	-0.0054	1.12	0.287	0.0518	1
itpr_fly	vertebrata	3	71	6677	2608	2149	1920	0.3219	-0.0019	1.01	0.2876	0.0006	1
itpr_fly	vertebrata	4	58	6734	2608	2168	1958	0.3219	-0.0019	1.01	0.2908	0.0032	1
itpr_fly	vertebrata	5	470	7203	2608	2183	2412	0.3031	-0.0207	1.07	0.3349	0.0441	1
itpr_fly	vertebrata	6	24	7225	2608	2188	2429	0.3028	-0.021	1.0	0.3362	0.0013	1
itpr_fly	vertebrata	7	1	7226	2608	2188	2430	0.3028	-0.021	1.0	0.3363	0.0001	1
itpr_fly	vertebrata	8	2	7228	2608	2189	2431	0.3029	-0.0209	1.0	0.3363	0.0	1
itpr_fly	vertebrata	9	0	7228	2608	2189	2431	0.3029	-0.0209	1.0	0.3363	0.0	1
itpr_fly	vertebrata	10	0	7228	2608	2189	2431	0.3029	-0.0209	1.0	0.3363	0.0	1
itpr_acanthamoeba	vertebrata	1	5246	5246	2592	1919	735	0.3658	0.0		0.1401	0.0	1
itpr_acanthamoeba	vertebrata	2	2562	7808	2608	2118	3082	0.2713	-0.0945	1.49	0.3947	0.2546	1
itpr_acanthamoeba	vertebrata	3	1185	8988	2608	2244	4136	0.2497	-0.1161	1.15	0.4602	0.0655	1
itpr_acanthamoeba	vertebrata	4	8678	17666	2608	2273	12785	0.1287	-0.2371	1.97	0.7237	0.2635	1
itpr_acanthamoeba	vertebrata	5	1075	18740	2608	2321	13811	0.1239	-0.2419	1.06	0.737	0.0133	1
itpr_acanthamoeba	vertebrata	6	677	19410	2608	2339	14463	0.1205	-0.2453	1.04	0.7451	0.0081	1
