paralog	element	n_sites	is_control	mean_jsd	mean_frac_modal	mean_entropy	mean_occupancy	mean_background_freq_of_modal	n_curated	n_sites_curated	curated_mean_jsd	curated_mean_frac_modal
ITPR1	MIR	200	False	0.7369	0.8542	0.8495	0.9864	0.05752	14	200	0.8078	0.9209
ITPR1	RIH_C	149	False	0.7656	0.8965	0.8902	0.9923	0.0566	14	149	0.8044	0.9195
ITPR1	RIH_N	197	False	0.7913	0.9215	0.9267	0.9985	0.05885	14	197	0.8225	0.9597
ITPR1	RIH_assoc	107	False	0.8037	0.951	0.9469	0.9977	0.05779	14	107	0.8324	0.9778
ITPR1	channel	183	False	0.7532	0.8986	0.895	0.987	0.06352	14	183	0.8083	0.9481
ITPR1	cterm	150	True	0.7776	0.9029	0.9007	0.98	0.05505	14	150	0.8306	0.9628
ITPR1	gate	5	False	0.7994	0.9846	0.9761	0.9919	0.066	14	5	0.822	1.0
ITPR1	linker_MIR_RIH_N	41	True	0.7461	0.8883	0.8796	0.9884	0.06193	14	41	0.8204	0.9729
ITPR1	linker_RIH_C_RIH_assoc	605	True	0.7138	0.8239	0.8217	0.9744	0.0579	14	599	0.7982	0.9056
ITPR1	linker_RIH_N_RIH_C	523	True	0.7197	0.8346	0.8306	0.9814	0.05846	14	523	0.7903	0.8982
ITPR1	linker_RIH_assoc_channel	285	True	0.732	0.8603	0.8519	0.9905	0.05922	14	285	0.7905	0.9097
ITPR1	linker_nterm_trefoil_MIR	3	True	0.618	0.5655	0.6414	0.999	0.05533	14	3	0.7267	0.7009
ITPR1	luminal_loop	49	False	0.4883	0.5468	0.5414	0.8367	0.05861	14	47	0.6191	0.5977
ITPR1	nterm	4	True	0.7562	0.8446	0.8408	0.9237	0.0485	14	4	0.7969	0.8388
ITPR1	nterm_trefoil	225	False	0.7715	0.9087	0.9022	0.9811	0.05813	14	225	0.8146	0.9489
ITPR1	selectivity_filter	7	False	0.7866	0.951	0.9509	0.9888	0.06857	14	7	0.8167	1.0
ITPR2	MIR	200	False	0.764	0.8919	0.8962	0.9688	0.05768	12	200	0.7951	0.8959
ITPR2	RIH_C	151	False	0.7691	0.9023	0.9005	0.9817	0.05621	12	151	0.8016	0.9079
ITPR2	RIH_N	197	False	0.7741	0.91	0.9113	0.9725	0.05898	12	197	0.8029	0.9172
ITPR2	RIH_assoc	107	False	0.8016	0.9343	0.9433	0.9997	0.05821	12	107	0.8145	0.9412
ITPR2	channel	227	False	0.7497	0.8789	0.8902	0.9963	0.06335	12	227	0.7737	0.8848
ITPR2	cterm	148	True	0.7861	0.9048	0.9145	0.9963	0.05487	12	148	0.8144	0.9229
ITPR2	gate	5	False	0.822	1.0	1.0	0.9985	0.066	12	5	0.822	1.0
ITPR2	linker_MIR_RIH_N	41	True	0.6949	0.8384	0.8218	0.97	0.0609	12	41	0.7719	0.8751
ITPR2	linker_RIH_C_RIH_assoc	560	True	0.7117	0.8075	0.8225	0.9873	0.05778	12	560	0.7669	0.8269
ITPR2	linker_RIH_N_RIH_C	515	True	0.7057	0.8087	0.8175	0.9725	0.05826	12	515	0.7687	0.8394
ITPR2	linker_RIH_assoc_channel	242	True	0.7385	0.8538	0.8583	0.9967	0.05733	12	242	0.7873	0.8788
ITPR2	linker_nterm_trefoil_MIR	4	True	0.7678	0.783	0.8366	0.9697	0.048	12	4	0.782	0.7713
ITPR2	luminal_loop	40	False	0.4521	0.5632	0.513	0.7332	0.0548	12	36	0.6701	0.6118
ITPR2	nterm	4	True	0.7194	0.7133	0.7609	0.9223	0.0405	12	4	0.7769	0.7165
ITPR2	nterm_trefoil	223	False	0.8057	0.9485	0.9513	0.9678	0.05865	12	223	0.8212	0.9509
ITPR2	selectivity_filter	7	False	0.7966	0.9757	0.9702	0.992	0.06686	12	7	0.7926	0.9491
ITPR3	MIR	196	False	0.7625	0.9056	0.8988	0.9629	0.05785	13	196	0.7956	0.9099
ITPR3	RIH_C	140	False	0.7612	0.8776	0.8797	0.9761	0.05626	13	140	0.7963	0.8905
ITPR3	RIH_N	197	False	0.7806	0.9214	0.9198	0.9703	0.05854	13	197	0.7929	0.9046
ITPR3	RIH_assoc	107	False	0.7976	0.9401	0.9399	0.9949	0.05815	13	107	0.8133	0.9411
ITPR3	channel	226	False	0.7489	0.8814	0.8894	0.9913	0.06403	13	226	0.7846	0.9053
ITPR3	cterm	144	True	0.776	0.8915	0.8982	0.98	0.05495	13	144	0.7944	0.8988
ITPR3	gate	5	False	0.822	1.0	1.0	0.9815	0.066	13	5	0.822	1.0
ITPR3	linker_MIR_RIH_N	42	True	0.7376	0.8385	0.8538	0.9803	0.05919	13	42	0.7475	0.8137
ITPR3	linker_RIH_C_RIH_assoc	527	True	0.6932	0.7817	0.7957	0.9782	0.05843	13	527	0.7463	0.7981
ITPR3	linker_RIH_N_RIH_C	511	True	0.7216	0.817	0.8309	0.9615	0.05807	13	511	0.7569	0.8217
ITPR3	linker_RIH_assoc_channel	266	True	0.7439	0.8503	0.8602	0.9807	0.05799	13	266	0.7862	0.8769
ITPR3	linker_nterm_trefoil_MIR	4	True	0.7208	0.6829	0.742	0.9372	0.03975	13	4	0.7279	0.6506
ITPR3	luminal_loop	46	False	0.4846	0.5236	0.5319	0.852	0.05637	13	46	0.5971	0.5216
ITPR3	nterm	2	True	0.8229	0.8668	0.8888	0.8896	0.041	13	2	0.8179	0.8198
ITPR3	nterm_trefoil	227	False	0.7784	0.9217	0.918	0.9419	0.05787	13	227	0.8146	0.94
ITPR3	selectivity_filter	7	False	0.8114	0.9956	0.9917	0.9996	0.06686	13	7	0.8204	1.0
