ref_id	kind	source_db	query_id	expect_in_title	fetched_title	fetched_year	fetched_journal	fetched_first_author	verdict	used_for	checked
R138	tool	pubmed	23329690	MAFFT multiple sequence alignment	MAFFT multiple sequence alignment software version 7: improvements in performance and usability	2013	Mol Biol Evol	Katoh K	verified	every alignment in the project; L-INS-i for the representative and seed alignments	2026-09-09
R139	tool	pubmed	19505945	trimAl	trimAl: a tool for automated alignment trimming in large-scale phylogenetic analyses	2009	Bioinformatics	Capella-Gutiérrez S	verified	automated trimming of the representative and codon alignments	2026-09-09
R140	tool	pubmed	32011700	IQ-TREE 2	IQ-TREE 2: New Models and Efficient Methods for Phylogenetic Inference in the Genomic Era	2020	Mol Biol Evol	Minh BQ	verified	the maximum-likelihood phylogeny and the constrained searches behind the AU test	2026-09-09
R141	method	pubmed	28481363	ModelFinder	ModelFinder: fast model selection for accurate phylogenetic estimates	2017	Nat Methods	Kalyaanamoorthy S	verified	model selection; the exhaustive scan this project measured and abandoned	2026-09-09
R142	method	pubmed	29077904	UFBoot2	UFBoot2: Improving the Ultrafast Bootstrap Approximation	2018	Mol Biol Evol	Hoang DT	verified	ultrafast bootstrap support and the --bnni guard against model violation	2026-09-09
R143	method	pubmed	20525638	New algorithms and methods to estimate maximum-likelihood	New algorithms and methods to estimate maximum-likelihood phylogenies: assessing the performance of PhyML 3.0	2010	Syst Biol	Guindon S	verified	the SH-aLRT branch test reported beside every bootstrap value	2026-09-09
R144	method	pubmed	12079646	approximately unbiased test	An approximately unbiased test of phylogenetic tree selection	2002	Syst Biol	Shimodaira H	verified	the AU test that decides which two paralogues are sisters	2026-09-09
R145	tool	pubmed	17483113	PAML 4	PAML 4: phylogenetic analysis by maximum likelihood	2007	Mol Biol Evol	Yang Z	verified	every codon-model fit: one-ratio, two-ratio, branch-site and site models	2026-09-09
R146	method	pubmed	16107592	improved branch-site likelihood	Evaluation of an improved branch-site likelihood method for detecting positive selection at the molecular level	2005	Mol Biol Evol	Zhang J	verified	branch-site model A on each paralogue stem, and its 50:50 mixture null	2026-09-09
R147	method	pubmed	15689528	Bayes empirical Bayes	Bayes empirical bayes inference of amino acid sites under positive selection	2005	Mol Biol Evol	Yang Z	verified	the per-site posteriors reported beside every significant selection test	2026-09-09
R148	tool	pubmed	16845082	PAL2NAL	PAL2NAL: robust conversion of protein sequence alignments into the corresponding codon alignments	2006	Nucleic Acids Res	Suyama M	verified	the protein-guided codon alignment, cross-checked against an independent in-house mapping	2026-09-09
R149	tool	pubmed	31504749	HyPhy 2.5	HyPhy 2.5-A Customizable Platform for Evolutionary Hypothesis Testing Using Phylogenies	2020	Mol Biol Evol	Kosakovsky Pond SL	verified	RELAX and FEL, run locally so the version is pinned in the toolchain manifest	2026-09-09
R150	method	pubmed	25540451	RELAX	RELAX: detecting relaxed selection in a phylogenetic framework	2015	Mol Biol Evol	Wertheim JO	verified	the test for relaxed or intensified selection between paralogue clades	2026-09-09
R151	method	pubmed	15703242	Not so different after all	Not so different after all: a comparison of methods for detecting amino acid sites under selection	2005	Mol Biol Evol	Kosakovsky Pond SL	verified	the per-site rates carried onto the receptor's own coordinates	2026-09-09
R152	method	pubmed	3444411	Simple methods for estimating the numbers of synonymous	Simple methods for estimating the numbers of synonymous and nonsynonymous nucleotide substitutions	1986	Mol Biol Evol	Nei M	verified	the pure-Python dN/dS in the app's selection tool	2026-09-09
R153	tool	pubmed	22039361	Accelerated Profile HMM Searches	Accelerated Profile HMM Searches	2011	PLoS Comput Biol	Eddy SR	verified	hmmbuild, hmmsearch and the two family profiles every census edition is scored against	2026-09-09
R154	method	pubmed	20718988	iterative HMM search procedure	Hidden Markov model speed heuristic and iterative HMM search procedure	2010	BMC Bioinformatics	Johnson LS	verified	the jackhmmer convergence runs and the kill criterion evaluated on them	2026-09-09
R155	db	pubmed	33125078	Pfam	Pfam: The protein families database in 2021	2021	Nucleic Acids Res	Mistry J	verified	the four family signatures that define the family in one place	2026-09-09
