node	parent	age_ma	age_lo	age_hi	stem_age_ma	n_tips	source
Vertebrata		563.0	480.0	615.0	615.0	31	TT5 median 615; fossil-calibrated estimates 480-550 (B15, IRI17) - the widest disagreement in the tree; stem is the chordate root, taken as the upper bound
Cyclostomata	Vertebrata	459.0	380.0	500.0	563.0	2	TT5 median hagfish-lamprey; IRI17 ~470; stem = parent (Vertebrata)
Gnathostomata	Vertebrata	462.0	421.0	468.0	563.0	29	TT5 median 462; B15 crown bounds 420.7-468.4; stem = parent (Vertebrata)
Chondrichthyes	Gnathostomata	306.0	190.0	421.0	462.0	4	TT5 median (Holocephali-Elasmobranchii); palaeontological estimates run to ~420; stem = parent (Gnathostomata)
Elasmobranchii	Chondrichthyes	264.0	200.0	310.0	306.0	3	TT5 median (Galeomorphi-Squalomorphi); stem = parent (Chondrichthyes)
Squalomorphi	Elasmobranchii	190.0	150.0	235.0	264.0	2	TT5 median (Squaliformes-Echinorhiniformes); Echinorhinidae's position is unstable, hence the spread; stem = parent (Elasmobranchii)
Osteichthyes	Gnathostomata	431.0	420.7	453.0	462.0	25	TT5 median 431; B15 min 420.7; stem = parent (Gnathostomata)
Clupeocephala	Osteichthyes	240.0	215.0	265.0	258.0	6	TT5 median; stem = Osteoglossocephalai crown 258 (no osteoglossomorph sampled)
Ostariophysi	Clupeocephala	160.0	140.0	190.0	200.0	2	TT5 median (Cypriniformes-Gonorynchiformes); stem = Otomorpha crown 200 (no clupeomorph sampled)
Percomorphaceae	Clupeocephala	120.0	100.0	140.0	135.0	4	TT5 median; stem = Acanthomorpha crown 135 (no non-percomorph acanthomorph sampled)
Ovalentaria	Percomorphaceae	110.0	95.0	125.0	120.0	3	TT5 median; membership per BET17; stem = parent (Percomorphaceae)
Sarcopterygii	Osteichthyes	413.0	390.0	425.0	431.0	19	TT5 median (Actinistia-Tetrapodomorpha); stem = parent (Osteichthyes)
Tetrapoda	Sarcopterygii	352.0	330.0	370.0	413.0	18	TT5 median; B15 min 337; stem = parent (Sarcopterygii)
Pipidae	Tetrapoda	122.0	100.0	145.0	217.0	2	TT5 median (Xenopodinae-Pipinae); stem = Batrachia crown 217 (no salamander or non-pipid frog sampled)
Amniota	Tetrapoda	319.0	312.0	330.0	352.0	16	TT5 median; B15 min 318; stem = parent (Tetrapoda)
Boreoeutheria	Amniota	96.0	88.0	105.0	99.0	6	TT5 median; stem = Placentalia crown 99 (no atlantogenatan sampled)
Euarchontoglires	Boreoeutheria	88.0	80.0	96.0	96.0	4	TT5 median; stem = parent (Boreoeutheria)
Primates	Euarchontoglires	43.0	38.0	50.0	88.0	2	TT5 median (Catarrhini-Platyrrhini); stem = Euarchontoglires crown (no non-primate euarchontan sampled)
Muridae	Euarchontoglires	13.0	10.0	16.0	88.0	2	TT5 median (Mus-Rattus); stem = Euarchontoglires crown (no non-murid glire sampled)
Artiodactyla	Boreoeutheria	62.0	55.0	70.0	96.0	2	TT5 median (Ruminantia-Cetacea); stem = Boreoeutheria crown (no non-artiodactyl laurasiathere sampled)
Sauria	Amniota	279.0	260.0	295.0	319.0	10	TT5 median (Lepidosauria-Archelosauria); stem = parent (Amniota)
Lepidosauria	Sauria	250.0	238.0	260.0	279.0	4	TT5 median (Rhynchocephalia-Squamata); stem = parent (Sauria)
Squamata	Lepidosauria	195.0	175.0	215.0	250.0	3	TT5 median (Gekkota-Unidentata); stem = parent (Lepidosauria)
Unidentata	Squamata	170.0	150.0	190.0	195.0	2	TT5 median (Laterata-Toxicofera); stem = parent (Squamata)
Aves	Sauria	110.0	95.0	125.0	247.0	6	TT5 median (Palaeognathae-Neognathae); PRUM15 backbone; stem = Archosauria crown 247 (no crocodilian sampled)
Neognathae	Aves	100.0	88.0	115.0	110.0	5	TT5 median (Galloanserae-Neoaves); PRUM15; stem = parent (Aves)
Telluraves	Neognathae	68.0	60.0	80.0	100.0	4	TT5 median (Afroaves-Australaves); PRUM15; stem = Neoaves crown, taken as the parent (no non-telluravian neoavian sampled)
Australaves	Telluraves	60.0	52.0	70.0	68.0	3	TT5 median (Psittaciformes-Passeriformes); PRUM15; stem = parent (Telluraves)
Passerida	Australaves	25.0	20.0	32.0	60.0	2	TT5 median (Muscicapidae-Passerellidae); stem = Australaves crown (no suboscine sampled)
