accession	band	role	length	n_itpr_arch	itpr_score	verdict	detail
A0A016T780	Nematoda	RYR	1041	2	367.4	shape	length 1041 outside RyR bait band 4600-5400
A0A016T816	Nematoda	RYR	1031	2	368.7	shape	length 1031 outside RyR bait band 4600-5400
A0A016U0Q9	Nematoda	RYR	3941	3	253.9	shape	length 3941 outside RyR bait band 4600-5400
A0A016U0R6	Nematoda	RYR	385	1	73.3	shape	length 385 outside RyR bait band 4600-5400
A0A016U1N6	Nematoda	RYR	398	1	73.2	shape	length 398 outside RyR bait band 4600-5400
A0A016U209	Nematoda	RYR	350	1	73.7	shape	length 350 outside RyR bait band 4600-5400
A0A016U2S5	Nematoda	RYR	337	1	73.9	shape	length 337 outside RyR bait band 4600-5400
A0A016VUT2	Nematoda	ITPR	818	2	966.4	shape	length 818 outside measured bait band 2450-3250
A0A016VUU4	Nematoda	ITPR	2004	3	1806.6	shape	length 2004 outside measured bait band 2450-3250
A0A016VVC9	Nematoda	ITPR	803	2	965.0	shape	length 803 outside measured bait band 2450-3250
A0A016VVL2	Nematoda	ITPR	864	2	1019.7	shape	length 864 outside measured bait band 2450-3250
A0A016VVL8	Nematoda	ITPR	2004	3	1807.5	shape	length 2004 outside measured bait band 2450-3250
A0A016VWG3	Nematoda	ITPR	849	2	1018.4	shape	length 849 outside measured bait band 2450-3250
A0A016VWG9	Nematoda	ITPR	1843	3	1678.1	shape	length 1843 outside measured bait band 2450-3250
A0A016VX74	Nematoda	ITPR	867	2	1021.8	shape	length 867 outside measured bait band 2450-3250
A0A016VX80	Nematoda	ITPR	2012	3	1806.7	shape	length 2012 outside measured bait band 2450-3250
A0A026VRJ2	Arthropoda	RYR	354	1	51.5	shape	length 354 outside RyR bait band 4600-5400
A0A067BPJ2	Oomycota	ITPR	517	2	74.9	shape	length 517 outside measured bait band 2450-3250
A0A067C1N9	Oomycota	ITPR	2168	3	863.4	shape	length 2168 outside measured bait band 2450-3250
A0A067C7T7	Oomycota	ITPR	2775	4	710.1	shape	architecture 4/5, not complete, and itpr.hmm scores it only 710 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A067CP00	Oomycota	ITPR	1873	2	911.6	shape	length 1873 outside measured bait band 2450-3250
A0A067CSU7	Oomycota	ITPR	1905	4	402.7	shape	length 1905 outside measured bait band 2450-3250
A0A067CZC0	Oomycota	ITPR	2875	3	386.1	shape	architecture 3/5, not complete, and itpr.hmm scores it only 386 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A067CZJ8	Oomycota	ITPR	1070	2	407.6	shape	length 1070 outside measured bait band 2450-3250
A0A067QFR8	Arthropoda	RYR	444	1	68.8	shape	length 444 outside RyR bait band 4600-5400
A0A068Y4L9	Platyhelminthes	RYR	928	3	175.8	shape	length 928 outside RyR bait band 4600-5400
A0A075A5M8	Platyhelminthes	RYR	5727	4	578.1	shape	length 5727 outside RyR bait band 4600-5400
A0A077ZVT6	Ciliophora	ITPR	3398	4	594.6	shape	length 3398 outside measured bait band 2450-3250
A0A077ZYI0	Ciliophora	ITPR	2799	1	349.1	shape	architecture 1/5, not complete, and itpr.hmm scores it only 349 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A078A1U0	Ciliophora	ITPR	3530	3	556.1	shape	length 3530 outside measured bait band 2450-3250
A0A078A4T9	Ciliophora	ITPR	2116	2	343.6	shape	length 2116 outside measured bait band 2450-3250
A0A087TIZ3	Arthropoda	RYR	919	3	185.8	shape	length 919 outside RyR bait band 4600-5400
A0A087TIZ4	Arthropoda	RYR	1626	1	87.8	shape	length 1626 outside RyR bait band 4600-5400
A0A087UUA3	Arthropoda	ITPR	290	1	480.1	shape	length 290 outside measured bait band 2450-3250
A0A087UUA7	Arthropoda	ITPR	264	1	413.3	shape	length 264 outside measured bait band 2450-3250
A0A0B1S7M8	Nematoda	ITPR	579	3	603.6	shape	length 579 outside measured bait band 2450-3250
A0A0B1SS08	Nematoda	ITPR	625	1	560.7	shape	length 625 outside measured bait band 2450-3250
A0A0B1SSX7	Nematoda	RYR	540	1	55.2	shape	length 540 outside RyR bait band 4600-5400
A0A0B1T157	Nematoda	RYR	296	1	59.1	shape	length 296 outside RyR bait band 4600-5400
A0A0B2UW59	Nematoda	RYR	635	3	183.6	shape	length 635 outside RyR bait band 4600-5400
A0A0C2CLV8	Nematoda	RYR	850	3	193.6	shape	length 850 outside RyR bait band 4600-5400
A0A0C2CTN4	Nematoda	RYR	1161	2	247.2	shape	length 1161 outside RyR bait band 4600-5400
A0A0C2D0C6	Nematoda	ITPR	563	1	418.8	shape	length 563 outside measured bait band 2450-3250
