rank	clade	pfam	label	searched	swept_proteomes	with_hit	frac	median_len	chosen
class	Aconoidasida	PF02815	MIR	1	36	0	0.0000	0	0
class	Aconoidasida	PF00063	Myosin_head	1	36	36	1.0000	1415	1
class	Aconoidasida	PF00122	E1-E2_ATPase	1	36	36	1.0000	1322	0
class	Aconoidasida	PF02463	SMC_N	1	36	36	1.0000	1206	0
class	Aconoidasida	PF00225	Kinesin	1	36	35	0.9722	1300	0
class	Aconoidasida	PF00004	AAA	0					0
class	Agaricomycetes	PF02815	MIR	1	191	186	0.9738	785	0
class	Agaricomycetes	PF00063	Myosin_head	1	191	184	0.9634	1897	1
class	Agaricomycetes	PF00122	E1-E2_ATPase	1	191	187	0.9791	1075	0
class	Agaricomycetes	PF02463	SMC_N	1	191	187	0.9791	1205	0
class	Agaricomycetes	PF00225	Kinesin	1	191	185	0.9686	958	0
class	Agaricomycetes	PF00004	AAA	0					0
class	Cestoda	PF02815	MIR	1	11	3	0.2727	702	0
class	Cestoda	PF00063	Myosin_head	1	11	11	1.0000	1627	1
class	Cestoda	PF00122	E1-E2_ATPase	1	11	11	1.0000	1075	0
class	Cestoda	PF02463	SMC_N	1	11	11	1.0000	1138	0
class	Cestoda	PF00225	Kinesin	1	11	11	1.0000	916	0
class	Cestoda	PF00004	AAA	0					0
class	Conoidasida	PF02815	MIR	1	23	0	0.0000	0	0
class	Conoidasida	PF00063	Myosin_head	1	23	23	1.0000	1476	1
class	Conoidasida	PF00122	E1-E2_ATPase	1	23	23	1.0000	1338	0
class	Conoidasida	PF02463	SMC_N	1	23	23	1.0000	1242	0
class	Conoidasida	PF00225	Kinesin	1	23	23	1.0000	921	0
class	Conoidasida	PF00004	AAA	0					0
class	Dothideomycetes	PF02815	MIR	1	172	171	0.9942	780	0
class	Dothideomycetes	PF00063	Myosin_head	1	172	171	0.9942	1843	1
class	Dothideomycetes	PF00122	E1-E2_ATPase	1	172	171	0.9942	1087	0
class	Dothideomycetes	PF02463	SMC_N	1	172	170	0.9884	1214	0
class	Dothideomycetes	PF00225	Kinesin	1	172	172	1.0000	951	0
class	Dothideomycetes	PF00004	AAA	0					0
class	Eurotiomycetes	PF02815	MIR	1	234	233	0.9957	776	0
class	Eurotiomycetes	PF00063	Myosin_head	1	234	233	0.9957	1574	1
class	Eurotiomycetes	PF00122	E1-E2_ATPase	1	234	234	1.0000	1117	0
class	Eurotiomycetes	PF02463	SMC_N	1	234	234	1.0000	1257	0
class	Eurotiomycetes	PF00225	Kinesin	1	234	233	0.9957	948	0
class	Eurotiomycetes	PF00004	AAA	0					0
class	Exobasidiomycetes	PF02815	MIR	1	14	14	1.0000	922	0
class	Exobasidiomycetes	PF00063	Myosin_head	1	14	14	1.0000	1692	1
