species	organism	accession	seq	role	cell	length	n_exons	n_junctions	n_junctions_annotated	n_junctions_unannotated	annotation_loss	failure_mode	cell_status	annot_gene	annot_biotype	annot_frac_cds	genome_copies	sweep_coverage	sweep_identity	contig	start	end	strand	mp_id	bait	frameshifts	frame_breaks	blocks_placed	blocks_tested	placement	translation_identity	source	note
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR1|deleginoides	failed	ITPR1	8222	58	57	48	9	0.537	fragmentation	found_unannotated					1.0	0.9535	CM062265.1	23122254	23184229	-	MP000081	A0A672IUQ7|ITPR1|Salarias_fasciatus	4	4	58	58	1.0	0.9898	miniprot:GCA_031216635.1:MP000081	
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR2|deleginoides	failed	ITPR2	8074	56	55	0	55	1.0	omission	found_unannotated					1.0	0.863	CM062273.1	21940942	21999811	+	MP000083	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	1	1	56	56	1.0	0.9998	miniprot:GCA_031216635.1:MP000083	
deleginoides	Dissostichus eleginoides	GCA_031216635.1	ITPR3|deleginoides	failed	ITPR3	8064	60	59	34	25	0.581	fragmentation	found_unannotated					1.0	0.8884	CM062267.1	8174094	8242096	-	MP000085	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	2	2	59	60	0.9833	0.9799	miniprot:GCA_031216635.1:MP000085	
deleginoides	Dissostichus eleginoides	GCA_031216635.1	RYR|deleginoides	control_family	RYR	14895	115	114	93	21			found_annotated	KUDE01_024247	protein_coding	0.828		1.0	0.8727	CM062284.1	25145338	25314970	+	MP000069	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	2	0	114	114	1.0	0.9977	miniprot:GCA_031216635.1:MP000069	
deleginoides	Dissostichus eleginoides	GCA_031216635.1	hk_EEF1A1|deleginoides	housekeeping	EEF1A1	1440	6	5	5	0							5	1.0411		CM062285.1	15936348	15938304	-	MP000008	EEF1A1	0	0	6	6	1.0	0.999	miniprot:GCA_031216635.1:MP000008	
deleginoides	Dissostichus eleginoides	GCA_031216635.1	hk_GAPDH|deleginoides	housekeeping	GAPDH	1005	11	10	10	0							3	1.006		CM062280.1	10111132	10119999	+	MP000002	GAPDH	0	0	10	10	1.0	1.0	miniprot:GCA_031216635.1:MP000002	
deleginoides	Dissostichus eleginoides	GCA_031216635.1	hk_RPL13A|deleginoides	housekeeping	RPL13A	618	7	6	6	0							3	1.0049		CM062275.1	20193268	20196420	+	MP000009	RPL13A	0	0	6	6	1.0	1.0	miniprot:GCA_031216635.1:MP000009	
deleginoides	Dissostichus eleginoides	GCA_031216635.1	decoy_ITPR1|deleginoides	decoy	ITPR1	8222	0	0	0	0																						reversed(ITPR1|deleginoides)	reversed CDS: identical base composition, no homology
deleginoides	Dissostichus eleginoides	GCA_031216635.1	decoy_ITPR2|deleginoides	decoy	ITPR2	8074	0	0	0	0																						reversed(ITPR2|deleginoides)	reversed CDS: identical base composition, no homology
deleginoides	Dissostichus eleginoides	GCA_031216635.1	decoy_ITPR3|deleginoides	decoy	ITPR3	8064	0	0	0	0																						reversed(ITPR3|deleginoides)	reversed CDS: identical base composition, no homology
