upid	organism	taxid	protein_count	group	genus	genus_n_available	status
UP000000803	Drosophila melanogaster (Fruit fly)	7227	21947	metazoa_nonvert			swept
UP000001940	Caenorhabditis elegans	6239	26629	metazoa_nonvert			swept
UP000008549	Caenorhabditis briggsae	6238	21744	metazoa_nonvert			swept
UP000069940	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	26331	metazoa_nonvert			swept
UP000000304	Drosophila simulans (Fruit fly)	7240	15361	metazoa_nonvert			swept
UP000000305	Daphnia pulex (Water flea)	6669	30137	metazoa_nonvert			swept
UP000000311	Camponotus floridanus (Florida carpenter ant)	104421	14787	metazoa_nonvert			swept
UP000000673	Anopheles darlingi (Mosquito)	43151	10595	metazoa_nonvert			swept
UP000001070	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)	7222	14754	metazoa_nonvert			swept
UP000001292	Drosophila sechellia (Fruit fly)	7238	16129	metazoa_nonvert			swept
UP000001307	Oikopleura dioica (Tunicate)	34765	17050	metazoa_nonvert			swept
UP000001554	Branchiostoma floridae (Florida lancelet) (Amphioxus)	7739	38650	metazoa_nonvert			swept
UP000001593	Nematostella vectensis (Starlet sea anemone)	45351	24435	metazoa_nonvert			swept
UP000001819	Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245	23331	metazoa_nonvert			swept
UP000002282	Drosophila yakuba (Fruit fly)	7245	20727	metazoa_nonvert			swept
UP000002320	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	18868	metazoa_nonvert			swept
UP000002358	Nasonia vitripennis (Parasitic wasp)	7425	24858	metazoa_nonvert			swept
UP000005203	Apis mellifera (Honeybee)	7460	19057	metazoa_nonvert			swept
UP000005204	Bombyx mori (Silk moth)	7091	23640	metazoa_nonvert			swept
UP000005205	Atta cephalotes (Leafcutter ant)	12957	10634	metazoa_nonvert			swept
UP000005237	Caenorhabditis japonica	281687	35024	metazoa_nonvert			swept
UP000005239	Pristionchus pacificus (Parasitic nematode worm)	54126	26122	metazoa_nonvert			swept
UP000005408	Magallana gigas (Pacific oyster) (Crassostrea gigas)	29159	57874	metazoa_nonvert			swept
UP000006672	Brugia malayi (Filarial nematode worm)	6279	15168	metazoa_nonvert			swept
UP000007062	Anopheles gambiae (African malaria mosquito)	7165	14559	metazoa_nonvert			swept
UP000007110	Strongylocentrotus purpuratus (Purple sea urchin)	7668	34417	metazoa_nonvert			swept
UP000007151	Danaus plexippus plexippus	278856	15140	metazoa_nonvert			swept
UP000007266	Tribolium castaneum (Red flour beetle)	7070	18505	metazoa_nonvert			swept
UP000007755	Acromyrmex echinatior (Panamanian leafcutter ant) (Acromyrmex octospinosus echinatior)	103372	13962	metazoa_nonvert			swept
UP000007798	Drosophila willistoni (Fruit fly)	7260	14806	metazoa_nonvert			swept
UP000007801	Drosophila ananassae (Fruit fly)	7217	19362	metazoa_nonvert			swept
UP000007819	Acyrthosiphon pisum (Pea aphid)	7029	23442	metazoa_nonvert			swept
UP000007875	Ciona savignyi (Pacific transparent sea squirt)	51511	20004	metazoa_nonvert			swept
UP000007879	Amphimedon queenslandica (Sponge)	400682	22831	metazoa_nonvert			swept
UP000008068	Caenorhabditis brenneri (Nematode worm)	135651	29982	metazoa_nonvert			swept
UP000008144	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	7719	17311	metazoa_nonvert			swept
UP000008237	Harpegnathos saltator (Jerdon's jumping ant)	610380	15029	metazoa_nonvert			swept
UP000008281	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	31252	metazoa_nonvert			swept
UP000008711	Drosophila erecta (Fruit fly)	7220	17348	metazoa_nonvert			swept
UP000008744	Drosophila persimilis (Fruit fly)	7234	16754	metazoa_nonvert			swept
UP000008792	Drosophila virilis (Fruit fly)	7244	18316	metazoa_nonvert			swept
UP000008820	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	20643	metazoa_nonvert			swept
UP000008854	Schistosoma mansoni (Blood fluke)	6183	10771	metazoa_nonvert			swept
UP000008909	Clonorchis sinensis (Chinese liver fluke)	79923	13606	metazoa_nonvert			swept
UP000009022	Trichoplax adhaerens (Trichoplax reptans)	10228	11520	metazoa_nonvert			swept
UP000009046	Pediculus humanus subsp. corporis (Body louse)	121224	10776	metazoa_nonvert			swept
UP000009192	Drosophila mojavensis (Fruit fly)	7230	18165	metazoa_nonvert			swept
UP000014500	Strigamia maritima (European centipede) (Geophilus maritimus)	126957	14972	metazoa_nonvert			swept
UP000014760	Capitella teleta (Polychaete worm)	283909	31857	metazoa_nonvert			swept
UP000015101	Helobdella robusta (Californian leech)	6412	23328	metazoa_nonvert			swept
UP000015102	Megaselia scalaris (Humpbacked fly) (Phora scalaris)	36166	11463	metazoa_nonvert			swept
UP000015103	Rhodnius prolixus (Triatomid bug)	13249	14974	metazoa_nonvert			swept
UP000015104	Tetranychus urticae (Two-spotted spider mite)	32264	17526	metazoa_nonvert			swept
UP000017246	Echinococcus multilocularis (Fox tapeworm)	6211	10472	metazoa_nonvert			swept
UP000019118	Dendroctonus ponderosae (Mountain pine beetle)	77166	17726	metazoa_nonvert			swept
UP000019149	Echinococcus granulosus (Hydatid tapeworm)	6210	11279	metazoa_nonvert			swept
UP000024404	Onchocerca volvulus	6282	12223	metazoa_nonvert			swept
UP000024635	Ancylostoma ceylanicum	53326	65375	metazoa_nonvert			swept
UP000025227	Haemonchus contortus (Barber pole worm)	6289	20964	metazoa_nonvert			swept
UP000027135	Zootermopsis nevadensis (Dampwood termite)	136037	14539	metazoa_nonvert			swept
UP000030665	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	36087	9624	metazoa_nonvert			swept
UP000030746	Lottia gigantea (Giant owl limpet)	225164	23675	metazoa_nonvert			swept
UP000030764	Trichuris suis (pig whipworm)	68888	14189	metazoa_nonvert			swept
UP000030765	Anopheles sinensis (Mosquito)	74873	19343	metazoa_nonvert			swept
UP000031036	Toxocara canis (Canine roundworm)	6265	18499	metazoa_nonvert			swept
UP000035642	Angiostrongylus cantonensis (Rat lungworm)	6313	14504	metazoa_nonvert			swept
UP000035680	Strongyloides venezuelensis (Threadworm)	75913	16624	metazoa_nonvert			swept
UP000035681	Strongyloides stercoralis (Threadworm)	6248	15552	metazoa_nonvert			swept
UP000035682	Strongyloides ratti (Parasitic roundworm)	34506	12456	metazoa_nonvert			swept
UP000036403	Lasius niger (Black garden ant)	67767	18044	metazoa_nonvert			swept
UP000037069	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)	7375	14353	metazoa_nonvert			swept
UP000037510	Operophtera brumata (Winter moth) (Phalaena brumata)	104452	16814	metazoa_nonvert			swept
UP000038045	Parastrongyloides trichosuri (Possum-specific nematode worm)	131310	14892	metazoa_nonvert			swept
UP000046392	Strongyloides papillosus (Intestinal threadworm)	174720	18232	metazoa_nonvert			swept
UP000046393	Syphacia muris	451379	11114	metazoa_nonvert			swept
UP000046395	Trichuris muris (Mouse whipworm)	70415	13960	metazoa_nonvert			swept
UP000050640	Elaeophora elaphi	1147741	10407	metazoa_nonvert			swept
