upid	organism	taxid	protein_count	group	genus	genus_n_available	status
UP000289726	'Catharanthus roseus' aster yellows phytoplasma	1193712	509	bacteria_genus	'Catharanthus	1	swept
UP000028900	'Chrysanthemum coronarium' phytoplasma	1520703	901	bacteria_genus	'Chrysanthemum	1	swept
UP000707147	'Elaeagnus angustifolia' witches'-broom phytoplasma	1538355	476	bacteria_genus	'Elaeagnus	1	swept
UP000811481	'Fragaria x ananassa' phyllody phytoplasma	2358428	525	bacteria_genus	'Fragaria	1	swept
UP000678347	'Santalum album' aster yellows phytoplasma	2831467	446	bacteria_genus	'Santalum	1	swept
UP001170667	'Vigna radiata' phytoplasma	1177238	498	bacteria_genus	'Vigna	1	swept
UP000237684	Abditibacterium utsteinense	1960156	3182	bacteria_genus	Abditibacterium	1	swept
UP000019050	Abiotrophia defectiva ATCC 49176	592010	1943	bacteria_genus	Abiotrophia	1	swept
UP001285244	Absicoccus intestinalis	2926319	2233	bacteria_genus	Absicoccus	2	swept
UP000831290	Abyssalbus ytuae	2926907	3605	bacteria_genus	Abyssalbus	1	swept
UP000251800	Abyssibacter profundi	2182787	3331	bacteria_genus	Abyssibacter	1	swept
UP000277108	Abyssicoccus albus	1817405	1737	bacteria_genus	Abyssicoccus	1	swept
UP000664417	Acanthopleuribacter pedis	442870	6545	bacteria_genus	Acanthopleuribacter	1	swept
UP000000268	Acaryochloris marina (strain MBIC 11017)	329726	8172	bacteria_genus	Acaryochloris	2	swept
UP000022141	Accumulibacter regalis	522306	4038	bacteria_genus	Accumulibacter	1	swept
UP000461443	Acerihabitans arboris	2691583	4966	bacteria_genus	Acerihabitans	1	swept
UP000199182	Acetanaerobacterium elongatum	258515	2758	bacteria_genus	Acetanaerobacterium	1	swept
UP000236311	Acetatifactor muris	879566	5687	bacteria_genus	Acetatifactor	1	swept
UP000671913	Aceticella autotrophica	2755338	2040	bacteria_genus	Aceticella	1	swept
UP000294321	Acetilactobacillus jinshanensis	1720083	1450	bacteria_genus	Acetilactobacillus	1	swept
UP000198838	Acetitomaculum ruminis DSM 5522	1120918	2632	bacteria_genus	Acetitomaculum	1	swept
UP000019109	Acetivibrio straminisolvens JCM 21531	1294263	4383	bacteria_genus	Acetivibrio	6	swept
UP001314903	Acetoanaerobium pronyense	1482736	2868	bacteria_genus	Acetoanaerobium	3	swept
UP000664771	Acetobacter sacchari	2661687	3994	bacteria_genus	Acetobacter	36	swept
UP000622405	Acetobacterium malicum	52692	3724	bacteria_genus	Acetobacterium	8	swept
UP000294830	Acetobacteroides hydrogenigenes	979970	3211	bacteria_genus	Acetobacteroides	1	swept
UP000001661	Acetohalobium arabaticum (strain ATCC 49924 / DSM 5501 / Z-7288)	574087	2276	bacteria_genus	Acetohalobium	1	swept
UP000005273	Acetomicrobium hydrogeniformans ATCC BAA-1850	592015	2196	bacteria_genus	Acetomicrobium	4	swept
UP000003240	Acetonema longum DSM 6540	1009370	4283	bacteria_genus	Acetonema	1	swept
UP000032737	Acholeplasma brassicae	61635	1671	bacteria_genus	Acholeplasma	4	swept
UP000494183	Achromobacter insolitus	217204	6762	bacteria_genus	Achromobacter	26	swept
UP000199208	Acidaminobacter hydrogenoformans DSM 2784	1120920	3277	bacteria_genus	Acidaminobacter	1	swept
UP000007093	Acidaminococcus intestini (strain RyC-MR95)	568816	2386	bacteria_genus	Acidaminococcus	2	swept
UP001596091	Acidicapsa dinghuensis	2218256	4952	bacteria_genus	Acidicapsa	1	swept
UP001071230	Acididesulfobacillus acetoxydans	1561005	4032	bacteria_genus	Acididesulfobacillus	1	swept
UP000437736	Acidiferrimicrobium australe	2664430	4277	bacteria_genus	Acidiferrimicrobium	1	swept
UP000253250	Acidiferrobacter thiooxydans	163359	2856	bacteria_genus	Acidiferrobacter	1	swept
UP000029273	Acidihalobacter prosperus	160660	3188	bacteria_genus	Acidihalobacter	4	swept
UP000470771	Acidiluteibacter ferrifornacis	2692424	3010	bacteria_genus	Acidiluteibacter	1	swept
UP000287969	Acidilutibacter cellobiosedens	2507161	3396	bacteria_genus	Acidilutibacter	1	swept
UP001595443	Acidimangrovimonas pyrenivorans	2030798	4132	bacteria_genus	Acidimangrovimonas	1	swept
UP000000771	Acidimicrobium ferrooxidans (strain DSM 10331 / JCM 15462 / NBRC 103882 / ICP)	525909	1935	bacteria_genus	Acidimicrobium	2	swept
UP001521209	Acidiphilium iwatense	768198	3928	bacteria_genus	Acidiphilium	5	swept
UP000295210	Acidipila rosea	768535	3487	bacteria_genus	Acidipila	1	swept
UP000178666	Acidipropionibacterium acidipropionici	1748	3155	bacteria_genus	Acidipropionibacterium	3	swept
UP000253606	Acidisarcina polymorpha	2211140	7005	bacteria_genus	Acidisarcina	1	swept
UP000721844	Acidisoma cellulosilyticum	2802395	5558	bacteria_genus	Acidisoma	2	swept
