Proteome Id	Organism	Organism Id	Protein count
UP000002195	Dictyostelium discoideum (Social amoeba)	44689	12726
UP000000542	Leishmania major	5664	8039
UP000000600	Paramecium tetraurelia	5888	39350
UP000000759	Phaeodactylum tricornutum (strain CCAP 1055/1)	556484	10465
UP000001064	Dictyostelium purpureum (Slime mold)	5786	12347
UP000001357	Monosiga brevicollis (Choanoflagellate)	81824	9156
UP000001396	Heterostelium pallidum (strain ATCC 26659 / Pp 5 / PN500) (Cellular slime mold) (Polysphondylium pallidum)	670386	12351
UP000001449	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana)	35128	11753
UP000001450	Plasmodium falciparum (isolate 3D7)	36329	5361
UP000001460	Cryptosporidium muris (strain RN66)	441375	3930
UP000001529	Toxoplasma gondii (strain ATCC 50611 / Me49)	508771	8307
UP000001926	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	294381	7967
UP000001949	Theileria parva (East coast fever infection agent)	5875	2788
UP000001950	Theileria annulata	5874	3790
UP000002226	Toxoplasma gondii (strain ATCC 50861 / VEG)	432359	8404
UP000002296	Trypanosoma cruzi (strain CL Brener)	353153	19242
UP000002640	Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	1094619	25721
UP000002729	Aureococcus anophagefferens (Harmful bloom alga)	44056	11501
UP000002899	Babesia microti (strain RI)	1133968	3595
UP000003786	Theileria orientalis strain Shintoku	869250	3996
UP000005238	Phytophthora ramorum (Sudden oak death agent)	164328	15350
UP000006319	Plasmodium cynomolgi (strain B)	1120755	5713
UP000006643	Phytophthora infestans (strain T30-4) (Potato late blight agent)	403677	17610
UP000006671	Naegleria gruberi (Amoeba)	5762	15636
UP000007014	Cyanidioschyzon merolae (strain NIES-3377 / 10D) (Unicellular red alga)	280699	5029
UP000007258	Leishmania braziliensis	5660	8084
UP000007259	Leishmania mexicana (strain MHOM/GT/2001/U1103)	929439	8044
UP000007350	Trypanosoma cruzi marinkellei	85056	10052
UP000007494	Neospora caninum (strain Liverpool)	572307	6933
UP000007797	Cavenderia fasciculata (Slime mold) (Dictyostelium fasciculatum)	261658	12152
UP000007799	Salpingoeca rosetta (Choanoflagellate)	946362	11698
UP000007800	Perkinsus marinus (strain ATCC 50983 / TXsc)	423536	23114
UP000008076	Entamoeba dispar (strain ATCC PRA-260 / SAW760)	370354	8606
UP000008153	Leishmania infantum	5671	8045
UP000008312	Blastocystis hominis	12968	5820
UP000008524	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	185431	8588
UP000008743	Capsaspora owczarzaki (strain ATCC 30864)	595528	9794
UP000008983	Ichthyophthirius multifiliis (White spot disease agent) (Ich)	5932	8049
UP000009168	Tetrahymena thermophila (strain SB210)	312017	26975
UP000011083	Acanthamoeba castellanii (strain ATCC 30010 / Neff)	1257118	14939
UP000011087	Guillardia theta (strain CCMP2712) (Cryptophyte)	905079	24738
UP000011713	Hyaloperonospora arabidopsidis (strain Emoy2) (Downy mildew agent) (Peronospora arabidopsidis)	559515	13837
UP000012073	Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa)	2769	9598
UP000013827	Emiliania huxleyi (strain CCMP1516)	280463	35617
UP000014680	Entamoeba invadens IP1	370355	9857
UP000015354	Strigomonas culicis	28005	9986
