coding	character	evidence	use_r5	use_r6	node	parent	parent_degree	parent_is_polytomy	siblings_lost_under_parent	n_tips_lost	n_tips_unknown	tips
paralog	ITPR1	recon_half	1	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR2	recon_half	1	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR3	recon_half	1	0	Columbina_picui	Columbidae	2	0	1	1	0	GCA_013397635.1
paralog	ITPR1	recon_half	0	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR1	recon_half	0	0	Neodrepanis_coruscans	Passeriformes	23	1	1	1	0	GCA_013400695.1
paralog	ITPR1	recon_half	0	0	Buphagus_erythrorhynchus	Sturnidae	3	1	1	1	0	GCA_013400855.1
paralog	ITPR1	recon_half	0	0	Horornis_vulcanius	Sylvioidea	7	1	1	1	0	GCA_013401035.1
paralog	ITPR1	recon_half	0	0	Oxylabes_madagascariensis	Timaliidae	5	1	2	1	0	GCA_013400675.1
paralog	ITPR1	recon_half	0	0	Mystacornis_crossleyi	Timaliidae	5	1	2	1	0	GCA_013400655.1
paralog	ITPR2	recon_half	0	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR2	recon_half	0	0	Guentherus_altivela	Neoteleostei	2	0	1	1	0	GCA_900312595.1
paralog	ITPR3	recon_half	0	0	Columbina_picui	Columbidae	2	0	1	1	0	GCA_013397635.1
paralog	ITPR3	recon_half	0	0	Buphagus_erythrorhynchus	Sturnidae	3	1	1	1	0	GCA_013400855.1
paralog	ITPR2	recon_strict	1	1	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR1	recon_strict	1	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR1	recon_strict	1	0	Tichodroma_muraria	Passeriformes	23	1	1	1	0	GCA_013390105.1
paralog	ITPR1	recon_strict	1	0	Leiothrix_lutea	Sylvioidea	7	1	1	1	0	GCA_013400445.1
paralog	ITPR1	recon_strict	1	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR1	recon_strict	1	0	Pomatorhinus_ruficollis	Timaliidae	5	1	1	1	0	GCA_013401195.1
paralog	ITPR1	recon_strict	1	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR1	recon_strict	1	0	Cathartes_aura	Cathartidae	2	0	1	1	0	GCA_000699945.1
paralog	ITPR2	recon_strict	1	0	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR2	recon_strict	1	0	Thalassarche_chlororhynchos	Procellariiformes	2	0	1	1	0	GCA_013400895.1
paralog	ITPR2	recon_strict	1	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR2	recon_strict	1	0	Tichodroma_muraria	Passeriformes	23	1	1	1	0	GCA_013390105.1
paralog	ITPR2	recon_strict	1	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR2	recon_strict	1	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR3	recon_strict	1	0	Cervus_elaphus_hippelaphus	Cervus	2	0	1	1	0	GCA_002197005.1
paralog	ITPR3	recon_strict	1	0	Crypturellus_undulatus	Crypturellus	2	0	1	1	0	GCA_013389825.1
paralog	ITPR3	recon_strict	1	0	Columbina_picui	Columbidae	2	0	1	1	0	GCA_013397635.1
paralog	ITPR3	recon_strict	1	0	Mionectes_macconnelli	Tyrannidae	2	0	1	1	0	GCA_013397495.1
paralog	ITPR3	recon_strict	1	0	Elachura_formosa	Passeriformes	23	1	1	1	0	GCA_013398795.1
paralog	ITPR3	recon_strict	1	0	Pomatorhinus_ruficollis	Timaliidae	5	1	1	1	0	GCA_013401195.1
paralog	ITPR3	recon_strict	1	0	Ceyx_cyanopectus	Coraciiformes	5	1	1	1	0	GCA_013401355.1
paralog	ITPR2	recon_strict	0	1	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR1	recon_strict	0	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR1	recon_strict	0	0	Tichodroma_muraria	Passeriformes	23	1	2	1	0	GCA_013390105.1
paralog	ITPR1	recon_strict	0	0	Neodrepanis_coruscans	Passeriformes	23	1	2	1	0	GCA_013400695.1
paralog	ITPR1	recon_strict	0	0	Buphagus_erythrorhynchus	Sturnidae	3	1	1	1	0	GCA_013400855.1
paralog	ITPR1	recon_strict	0	0	Leiothrix_lutea	Sylvioidea	7	1	2	1	0	GCA_013400445.1
paralog	ITPR1	recon_strict	0	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR1	recon_strict	0	0	Horornis_vulcanius	Sylvioidea	7	1	2	1	0	GCA_013401035.1
paralog	ITPR1	recon_strict	0	0	Pomatorhinus_ruficollis	Timaliidae	5	1	3	1	0	GCA_013401195.1
paralog	ITPR1	recon_strict	0	0	Oxylabes_madagascariensis	Timaliidae	5	1	3	1	0	GCA_013400675.1
paralog	ITPR1	recon_strict	0	0	Mystacornis_crossleyi	Timaliidae	5	1	3	1	0	GCA_013400655.1
paralog	ITPR1	recon_strict	0	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR1	recon_strict	0	0	Cathartes_aura	Cathartidae	2	0	1	1	0	GCA_000699945.1
paralog	ITPR2	recon_strict	0	0	Bothrops_jararaca	Colubroidea	2	0	1	1	0	GCA_018340635.1
paralog	ITPR2	recon_strict	0	0	Thalassarche_chlororhynchos	Procellariiformes	2	0	1	1	0	GCA_013400895.1
paralog	ITPR2	recon_strict	0	0	Limosa_lapponica_baueri	Charadriiformes	7	1	1	1	0	GCA_002844005.1
paralog	ITPR2	recon_strict	0	0	Tichodroma_muraria	Passeriformes	23	1	1	1	0	GCA_013390105.1
paralog	ITPR2	recon_strict	0	0	Hypocryptadius_cinnamomeus	Zosteropidae	2	0	1	1	0	GCA_013400635.1
paralog	ITPR2	recon_strict	0	0	Todus_mexicanus	Coraciiformes	5	1	1	1	0	GCA_013389965.1
paralog	ITPR2	recon_strict	0	0	Guentherus_altivela	Neoteleostei	2	0	1	1	0	GCA_900312595.1
paralog	ITPR3	recon_strict	0	0	Cervus_elaphus_hippelaphus	Cervus	2	0	1	1	0	GCA_002197005.1
paralog	ITPR3	recon_strict	0	0	Crypturellus_undulatus	Crypturellus	2	0	1	1	0	GCA_013389825.1
paralog	ITPR3	recon_strict	0	0	Columbina_picui	Columbidae	2	0	1	1	0	GCA_013397635.1
paralog	ITPR3	recon_strict	0	0	Mionectes_macconnelli	Tyrannidae	2	0	1	1	0	GCA_013397495.1
paralog	ITPR3	recon_strict	0	0	Elachura_formosa	Passeriformes	23	1	1	1	0	GCA_013398795.1
