label	accession	organism	vclass	vorder	cell	locus_idx	status	contig	start	end	span_bp	identity	coverage	bait	bait_paralog	annot_gene	annot_paralog	has_gene_table
Podiceps_cristatus|GCA_000699545.1|ITPR1.0	GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	ITPR1	0	assembly_gap	JMFS01131396.1	4289	29317	25028	0.9925	0.3343	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			0
Podiceps_cristatus|GCA_000699545.1|ITPR2.0	GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	ITPR2	0	fragment	KL263936.1	21481	98516	77035	0.9542	0.3870	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			0
Podiceps_cristatus|GCA_000699545.1|ITPR3.0	GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	ITPR3	0	found_no_annotation	KL257532.1	5164	25874	20710	0.9903	0.8239	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3			0
Podiceps_cristatus|GCA_000699545.1|RYR.0	GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	RYR	0	assembly_gap	KL283962.1	1097	101573	100476	0.9836	0.4775	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			0
Podiceps_cristatus|GCA_000699545.1|RYR.1	GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	RYR	1	assembly_gap	JMFS01114174.1	154	75510	75356	0.6926	0.4394	A0A3Q0HBW9|RYR|Alligator_sinensis	RYR			0
Podiceps_cristatus|GCA_000699545.1|RYR.2	GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	RYR	2	assembly_gap	KL256588.1	10269	62184	51915	0.9760	0.2353	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			0
Cathartes_aura|GCA_000699945.1|ITPR2.0	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	ITPR2	0	fragment	KL291012.1	81303	160305	79002	0.9852	0.3752	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Cathartes_aura|GCA_000699945.1|ITPR3.0	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	ITPR3	0	found_annotated	KL301852.1	537	20480	19943	0.9781	0.7477	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	N323_11390		1
Cathartes_aura|GCA_000699945.1|RYR.0	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	0	assembly_gap	KL299849.1	2339	87205	84866	0.9858	0.4831	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Cathartes_aura|GCA_000699945.1|RYR.1	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	1	assembly_gap	KL309451.1	1729	34915	33186	0.7195	0.2593	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Cathartes_aura|GCA_000699945.1|RYR.2	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	2	assembly_gap	KL332051.1	2241	27149	24908	0.6357	0.2589	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	vertebrate_basal			1
Cathartes_aura|GCA_000699945.1|RYR.3	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	3	assembly_gap	KL320477.1	2040	18489	16449	0.9715	0.1556	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	ITPR1	0	found_unannotated	CM008031.1	28422367	28806490	384123	0.8879	1.0000	Q14643|ITPR1|Homo_sapiens|ITPR1	ITPR1			1
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	ITPR2	0	found_unannotated	CM008029.1	46562293	47287741	725448	0.8296	1.0000	Q14571|ITPR2|Homo_sapiens|ITPR2	ITPR2			1
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	RYR	0	found_unannotated	CM008022.1	12245616	13191845	946229	0.8775	0.9974	Q92736|RYR2|Homo_sapiens|RYR2	RYR2			1
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	RYR	1	found_unannotated	CM008011.1	60192955	60333350	140395	0.7407	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			1
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	RYR	2	found_unannotated	CM008019.1	88509295	89000828	491533	0.6313	0.9968	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			1
Limosa_lapponica_baueri|GCA_002844005.1|ITPR3.0	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	ITPR3	0	found_annotated	KZ509852.1	4513	37856	33343	0.8623	0.9801	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	llap_16032		1
Limosa_lapponica_baueri|GCA_002844005.1|RYR.0	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	RYR	0	found_unannotated	KZ505650.1	1556943	1978394	421451	0.9845	1.0000	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Limosa_lapponica_baueri|GCA_002844005.1|RYR.1	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	RYR	1	found_unannotated	KZ505716.1	586247	805857	219610	0.6774	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1	llap_3383		1
Bambusicola_thoracicus|GCA_002909625.1|ITPR1.0	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR1	0	assembly_gap	PPHD01000413.1	7648	65942	58294	1.0000	0.3516	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			1
Bambusicola_thoracicus|GCA_002909625.1|ITPR1.1	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR1	1	assembly_gap	PPHD01008249.1	590	21997	21407	0.9989	0.3188	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1	CIB84_004674		1
Bambusicola_thoracicus|GCA_002909625.1|ITPR2.0	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR2	0	assembly_gap	PPHD01003807.1	6160	29027	22867	0.9000	0.2111	F1P1X4|ITPR2|Gallus_gallus|ITPR2	ITPR2	CIB84_002931		1
Bambusicola_thoracicus|GCA_002909625.1|ITPR2.1	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR2	1	assembly_gap	PPHD01002362.1	4881	19406	14525	0.9837	0.1589	F1P1X4|ITPR2|Gallus_gallus|ITPR2	ITPR2			1
Bambusicola_thoracicus|GCA_002909625.1|ITPR3.0	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR3	0	assembly_gap	PPHD01009884.1	3	19437	19434	0.9988	0.6295	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	CIB84_005232		1
Bambusicola_thoracicus|GCA_002909625.1|ITPR3.1	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR3	1	assembly_gap	PPHD01019520.1	82	6747	6665	0.9963	0.2042	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	CIB84_007851		1
Bambusicola_thoracicus|GCA_002909625.1|RYR.0	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	0	assembly_gap	PPHD01005234.1	2410	24777	22367	0.9929	0.1985	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Bambusicola_thoracicus|GCA_002909625.1|RYR.1	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	1	assembly_gap	PPHD01004762.1	949	25925	24976	0.9832	0.1795	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Bambusicola_thoracicus|GCA_002909625.1|RYR.2	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	2	assembly_gap	PPHD01004103.1	719	28757	28038	0.6254	0.2694	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	vertebrate_basal			1
Bambusicola_thoracicus|GCA_002909625.1|RYR.3	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	3	assembly_gap	PPHD01048816.1	168	6558	6390	0.6774	0.1336	H3BGR5|RYR|Latimeria_chalumnae	RYR			1
