pair_class	stratum	key	window	n_pairs	mean_j	median_j	max_j	frac_positive	control_mean_j	control_median_j	control_frac_positive	excess_mean	ratio	n_used	n_ties	frac_beats_control	z
within_ITPR1	all	relaxed	fixed10	27261	0.2109	0.0588	1.0000	0.7141	0.0005	0.0000	0.0112	0.2104	410.8862	19518	7743	0.9965	138.7119
within_ITPR1	same_vclass	relaxed	fixed10	8546	0.3227	0.2632	1.0000	0.7257	0.0008	0.0000	0.0089	0.3219	408.1383	6223	2323	0.9965	78.3156
within_ITPR1	cross_vclass	relaxed	fixed10	18715	0.1599	0.0455	1.0000	0.7088	0.0004	0.0000	0.0122	0.1595	413.4517	13295	5420	0.9965	114.4800
within_ITPR2	all	relaxed	fixed10	27028	0.2188	0.1290	1.0000	0.7948	0.0005	0.0000	0.0115	0.2182	412.9618	21509	5519	0.9983	146.1481
within_ITPR2	same_vclass	relaxed	fixed10	8655	0.3469	0.3077	1.0000	0.8027	0.0008	0.0000	0.0089	0.3461	431.8241	6962	1693	0.9970	82.9233
within_ITPR2	cross_vclass	relaxed	fixed10	18373	0.1584	0.1111	0.9444	0.7911	0.0004	0.0000	0.0128	0.1580	395.1571	14547	3826	0.9989	120.3373
within_ITPR3	all	relaxed	fixed10	27261	0.1246	0.0000	1.0000	0.4367	0.0006	0.0000	0.0118	0.1241	215.5068	12121	15140	0.9809	105.8718
within_ITPR3	same_vclass	relaxed	fixed10	8845	0.2544	0.1667	1.0000	0.6890	0.0010	0.0000	0.0101	0.2534	266.5055	6129	2716	0.9930	77.1766
within_ITPR3	cross_vclass	relaxed	fixed10	18416	0.0623	0.0000	0.8750	0.3155	0.0004	0.0000	0.0127	0.0619	156.7007	5992	12424	0.9685	72.5119
within_RYR	all	relaxed	fixed10	28920	0.0955	0.0000	1.0000	0.3297	0.0006	0.0000	0.0115	0.0949	173.4341	9743	19177	0.9772	94.1983
within_RYR	same_vclass	relaxed	fixed10	9330	0.1848	0.0000	1.0000	0.3980	0.0009	0.0000	0.0096	0.1839	204.6388	3772	5558	0.9838	59.4139
within_RYR	cross_vclass	relaxed	fixed10	19590	0.0530	0.0000	1.0000	0.2972	0.0004	0.0000	0.0124	0.0526	138.3816	5971	13619	0.9730	73.0922
