cell	key_kind	window	symbol	n_species	n_species_total	fraction	background	enrichment
ITPR1	relaxed	fixed10	SUMF1	188	207	0.9082	0.0000	inf
ITPR1	relaxed	fixed10	EDEM1	133	207	0.6425	0.0000	inf
ITPR1	relaxed	fixed10	BHLHE40	129	207	0.6232	0.0000	inf
ITPR1	relaxed	fixed10	LRRN1	125	207	0.6039	0.0000	inf
ITPR1	relaxed	fixed10	CRBN	115	207	0.5556	0.0000	inf
ITPR1	relaxed	fixed10	ARL8B	112	207	0.5411	0.0000	inf
ITPR1	relaxed	fixed10	TRNT1	111	207	0.5362	0.0000	inf
ITPR1	relaxed	fixed10	IL5RA	104	207	0.5024	0.0000	inf
ITPR1	relaxed	fixed10	LMCD1	100	207	0.4831	0.0000	inf
ITPR1	relaxed	fixed10	CAV3	88	207	0.4251	0.0000	inf
ITPR1	relaxed	fixed10	GRM7	86	207	0.4155	0.0000	inf
ITPR1	relaxed	fixed10	RAD18	83	207	0.4010	0.0000	inf
ITPR1	relaxed	fixed10	OXTR	80	207	0.3865	0.0000	inf
ITPR1	relaxed	fixed10	CHL1	72	207	0.3478	0.0000	inf
ITPR1	relaxed	fixed10	SRGAP3	60	207	0.2899	0.0000	inf
ITPR1	relaxed	fixed10	CNTN4	56	207	0.2705	0.0000	inf
ITPR1	relaxed	fixed10	SETMAR	54	207	0.2609	0.0000	inf
ITPR1	relaxed	fixed10	SSUH2	53	207	0.2560	0.0000	inf
ITPR1	relaxed	fixed10	CNTN6	50	207	0.2415	0.0000	inf
ITPR1	relaxed	fixed10	SLC4A8	41	207	0.1981	0.0015	133.4976
ITPR1	relaxed	fixed10	ZC3H10	40	207	0.1932	0.0000	inf
ITPR1	relaxed	fixed10	TTLL3	37	207	0.1787	0.0000	inf
ITPR1	relaxed	fixed10	ATF1	34	207	0.1643	0.0030	55.3527
ITPR1	relaxed	fixed10	DIP2B	33	207	0.1594	0.0030	53.7246
ITPR1	relaxed	fixed10	SCN8A	31	207	0.1498	0.0030	50.4686
ITPR1	relaxed	fixed10	ESYT1B	26	207	0.1256	0.0000	inf
ITPR1	relaxed	fixed10	THUMPD3	26	207	0.1256	0.0000	inf
ITPR1	relaxed	fixed10	ATF7B	22	207	0.1063	0.0000	inf
ITPR2	relaxed	fixed10	SSPN	197	215	0.9163	0.0000	inf
ITPR2	relaxed	fixed10	BHLHE41	183	215	0.8512	0.0000	inf
ITPR2	relaxed	fixed10	INTS13	139	215	0.6465	0.0000	inf
ITPR2	relaxed	fixed10	KRAS	137	215	0.6372	0.0000	inf
ITPR2	relaxed	fixed10	FGFR1OP2	121	215	0.5628	0.0000	inf
ITPR2	relaxed	fixed10	TM7SF3	115	215	0.5349	0.0000	inf
ITPR2	relaxed	fixed10	MED21	110	215	0.5116	0.0015	344.8372
ITPR2	relaxed	fixed10	RASSF8	103	215	0.4791	0.0000	inf
ITPR2	relaxed	fixed10	BMAL2	97	215	0.4512	0.0000	inf
ITPR2	relaxed	fixed10	STK38L	94	215	0.4372	0.0000	inf
ITPR2	relaxed	fixed10	ETFRF1	93	215	0.4326	0.0000	inf
ITPR2	relaxed	fixed10	DNAI7	83	215	0.3860	0.0000	inf
ITPR2	relaxed	fixed10	PPFIBP1	83	215	0.3860	0.0000	inf
ITPR2	relaxed	fixed10	IRAG2	71	215	0.3302	0.0000	inf
ITPR2	relaxed	fixed10	REP15	71	215	0.3302	0.0000	inf
ITPR2	relaxed	fixed10	LMNTD1	63	215	0.2930	0.0000	inf
ITPR2	relaxed	fixed10	EEA1	62	215	0.2884	0.0015	194.3628
ITPR2	relaxed	fixed10	PLEKHG7	62	215	0.2884	0.0015	194.3628
ITPR2	relaxed	fixed10	GYS2	52	215	0.2419	0.0000	inf
ITPR2	relaxed	fixed10	UBE2N	51	215	0.2372	0.0015	159.8791
ITPR2	relaxed	fixed10	SPX	50	215	0.2326	0.0000	inf
ITPR2	relaxed	fixed10	NUDT4A	48	215	0.2233	0.0000	inf
ITPR2	relaxed	fixed10	NR1H4	47	215	0.2186	0.0015	147.3395
ITPR2	relaxed	fixed10	C1QTNF13	45	215	0.2093	0.0000	inf
ITPR2	relaxed	fixed10	SLC17A8	45	215	0.2093	0.0015	141.0698
ITPR2	relaxed	fixed10	BANP	35	215	0.1628	0.0015	109.7209
ITPR2	relaxed	fixed10	CYB5R3	33	215	0.1535	0.0000	inf
ITPR2	relaxed	fixed10	PPFIBP1B	33	215	0.1535	0.0015	103.4512
ITPR2	relaxed	fixed10	BCAT1	32	215	0.1488	0.0000	inf
ITPR2	relaxed	fixed10	FBXO31	31	215	0.1442	0.0015	97.1814
ITPR2	relaxed	fixed10	ARNTL2	27	215	0.1256	0.0000	inf
ITPR2	relaxed	fixed10	LDHB	27	215	0.1256	0.0000	inf
ITPR2	relaxed	fixed10	CES2B	26	215	0.1209	0.0015	81.5070
ITPR2	relaxed	fixed10	ZNF469	26	215	0.1209	0.0000	inf
ITPR2	relaxed	fixed10	FANCI	25	215	0.1163	0.0015	78.3721
ITPR2	relaxed	fixed10	RASSF8A	24	215	0.1116	0.0000	inf
ITPR3	relaxed	fixed10	BAK1	125	215	0.5814	0.0015	391.8605
ITPR3	relaxed	fixed10	GRM4	114	215	0.5302	0.0000	inf
ITPR3	relaxed	fixed10	HMGA1	104	215	0.4837	0.0000	inf
ITPR3	relaxed	fixed10	NUDT3	94	215	0.4372	0.0000	inf
ITPR3	relaxed	fixed10	SMIM29	91	215	0.4233	0.0015	285.2744
ITPR3	relaxed	fixed10	RPS10	90	215	0.4186	0.0000	inf
ITPR3	relaxed	fixed10	LEMD2	88	215	0.4093	0.0000	inf
ITPR3	relaxed	fixed10	OARD1	88	215	0.4093	0.0030	137.9349
ITPR3	relaxed	fixed10	APOBEC2	82	215	0.3814	0.0015	257.0605
ITPR3	relaxed	fixed10	PACSIN1	81	215	0.3767	0.0000	inf
ITPR3	relaxed	fixed10	MLN	79	215	0.3674	0.0000	inf
ITPR3	relaxed	fixed10	NFYA	79	215	0.3674	0.0015	247.6558
ITPR3	relaxed	fixed10	IP6K3	75	215	0.3488	0.0000	inf
ITPR3	relaxed	fixed10	FOXP4	56	215	0.2605	0.0015	175.5535
ITPR3	relaxed	fixed10	SPDEF	53	215	0.2465	0.0000	inf
ITPR3	relaxed	fixed10	MDFI	48	215	0.2233	0.0015	150.4744
ITPR3	relaxed	fixed10	TSPO2	41	215	0.1907	0.0000	inf
ITPR3	relaxed	fixed10	SNRPC	37	215	0.1721	0.0000	inf
ITPR3	relaxed	fixed10	TFEB	37	215	0.1721	0.0015	115.9907
ITPR3	relaxed	fixed10	UQCC2	36	215	0.1674	0.0000	inf
ITPR3	relaxed	fixed10	GPR37L1B	31	215	0.1442	0.0000	inf
ITPR3	relaxed	fixed10	HM13	29	215	0.1349	0.0015	90.9116
ITPR3	relaxed	fixed10	PHF1	29	215	0.1349	0.0000	inf
ITPR3	relaxed	fixed10	CUTA	28	215	0.1302	0.0000	inf
ITPR3	relaxed	fixed10	KIFC1	28	215	0.1302	0.0000	inf
ITPR3	relaxed	fixed10	ZBTB9	28	215	0.1302	0.0000	inf
ITPR3	relaxed	fixed10	MRGBP	27	215	0.1256	0.0074	16.9284
ITPR3	relaxed	fixed10	SYNGAP1	27	215	0.1256	0.0000	inf
ITPR3	relaxed	fixed10	DAXX	26	215	0.1209	0.0000	inf
ITPR3	relaxed	fixed10	ILRUN	26	215	0.1209	0.0000	inf
ITPR3	relaxed	fixed10	SNX21	26	215	0.1209	0.0030	40.7535
ITPR3	relaxed	fixed10	TREM2	23	215	0.1070	0.0015	72.1023
RYR	relaxed	fixed10	MTR	118	213	0.5540	0.0000	inf
RYR	relaxed	fixed10	HEATR1	93	213	0.4366	0.0000	inf
RYR	relaxed	fixed10	ACTN2	85	213	0.3991	0.0000	inf
RYR	relaxed	fixed10	EDARADD	80	213	0.3756	0.0000	inf
RYR	relaxed	fixed10	GPR137B	75	213	0.3521	0.0000	inf
RYR	relaxed	fixed10	ERO1B	74	213	0.3474	0.0000	inf
RYR	relaxed	fixed10	LGALS8	74	213	0.3474	0.0000	inf
RYR	relaxed	fixed10	NID1	73	213	0.3427	0.0000	inf
RYR	relaxed	fixed10	CHRM3	72	213	0.3380	0.0000	inf
RYR	relaxed	fixed10	LYST	66	213	0.3099	0.0000	inf
RYR	relaxed	fixed10	GREM2	61	213	0.2864	0.0000	inf
RYR	relaxed	fixed10	FMN2	59	213	0.2770	0.0000	inf
RYR	relaxed	fixed10	OPN3	59	213	0.2770	0.0000	inf
RYR	relaxed	fixed10	RGS7	57	213	0.2676	0.0000	inf
RYR	relaxed	fixed10	GNG4	52	213	0.2441	0.0000	inf
RYR	relaxed	fixed10	EXO1	47	213	0.2207	0.0000	inf
RYR	relaxed	fixed10	AVEN	45	213	0.2113	0.0015	142.3944
RYR	relaxed	fixed10	PIGM	44	213	0.2066	0.0000	inf
RYR	relaxed	fixed10	FMN2B	43	213	0.2019	0.0000	inf
RYR	relaxed	fixed10	WDR64	43	213	0.2019	0.0000	inf
RYR	relaxed	fixed10	MAP1LC3C	37	213	0.1737	0.0000	inf
RYR	relaxed	fixed10	FH	36	213	0.1690	0.0000	inf
RYR	relaxed	fixed10	KATNBL1	35	213	0.1643	0.0000	inf
RYR	relaxed	fixed10	CHRM3B	33	213	0.1549	0.0000	inf
RYR	relaxed	fixed10	GREM1	31	213	0.1455	0.0015	98.0939
RYR	relaxed	fixed10	CHRM5	30	213	0.1408	0.0015	94.9296
RYR	relaxed	fixed10	EMC7	30	213	0.1408	0.0000	inf
RYR	relaxed	fixed10	SPRED1	30	213	0.1408	0.0015	94.9296
RYR	relaxed	fixed10	FAM98B	27	213	0.1268	0.0000	inf
RYR	relaxed	fixed10	SCG5	26	213	0.1221	0.0015	82.2723
RYR	relaxed	fixed10	EXOC6	25	213	0.1174	0.0030	39.5540
RYR	relaxed	fixed10	FSIP1	25	213	0.1174	0.0000	inf
RYR	relaxed	fixed10	GPR176	25	213	0.1174	0.0000	inf
RYR	relaxed	fixed10	PLD5	25	213	0.1174	0.0000	inf
RYR	relaxed	fixed10	RASGRP1	25	213	0.1174	0.0015	79.1080
RYR	relaxed	fixed10	ARHGAP11A	23	213	0.1080	0.0015	72.7793
RYR	relaxed	fixed10	BMS1	22	213	0.1033	0.0015	69.6150
ITPR1	root	fixed10	SUMF	188	207	0.9082	0.0015	612.1353
ITPR1	root	fixed10	EDEM	133	207	0.6425	0.0015	433.0531
ITPR1	root	fixed10	BHLHE	129	207	0.6232	0.0074	84.0058
ITPR1	root	fixed10	LRRN	125	207	0.6039	0.0045	135.6683
ITPR1	root	fixed10	CRBN	115	207	0.5556	0.0000	inf
ITPR1	root	fixed10	ARL8B	112	207	0.5411	0.0000	inf
ITPR1	root	fixed10	TRNT	111	207	0.5362	0.0000	inf
ITPR1	root	fixed10	IL5RA	104	207	0.5024	0.0000	inf
ITPR1	root	fixed10	LMCD	100	207	0.4831	0.0000	inf
ITPR1	root	fixed10	CAV	88	207	0.4251	0.0000	inf
ITPR1	root	fixed10	CNTN	87	207	0.4203	0.0045	94.4251
ITPR1	root	fixed10	GRM	86	207	0.4155	0.0045	93.3398
ITPR1	root	fixed10	RAD	83	207	0.4010	0.0015	270.2512
ITPR1	root	fixed10	OXTR	80	207	0.3865	0.0000	inf
ITPR1	root	fixed10	CHL	72	207	0.3478	0.0000	inf
ITPR1	root	fixed10	SRGAP	60	207	0.2899	0.0000	inf
ITPR1	root	fixed10	SETMAR	54	207	0.2609	0.0000	inf
ITPR1	root	fixed10	SSUH	53	207	0.2560	0.0000	inf
ITPR1	root	fixed10	SLC4A	41	207	0.1981	0.0119	16.6872
ITPR1	root	fixed10	ZC3H	40	207	0.1932	0.0015	130.2415
ITPR1	root	fixed10	TTLL	37	207	0.1787	0.0148	12.0473
ITPR1	root	fixed10	ATF	34	207	0.1643	0.0074	22.1411
ITPR1	root	fixed10	DIP2B	33	207	0.1594	0.0030	53.7246
ITPR1	root	fixed10	SCN8A	31	207	0.1498	0.0030	50.4686
ITPR1	root	fixed10	ESYT1B	26	207	0.1256	0.0000	inf
ITPR1	root	fixed10	THUMPD	26	207	0.1256	0.0059	21.1643
ITPR1	root	fixed10	ATF7B	22	207	0.1063	0.0000	inf
ITPR2	root	fixed10	SSPN	197	215	0.9163	0.0000	inf
ITPR2	root	fixed10	BHLHE	183	215	0.8512	0.0074	114.7367
ITPR2	root	fixed10	INTS	139	215	0.6465	0.0119	54.4686
ITPR2	root	fixed10	KRAS	137	215	0.6372	0.0000	inf
