figure	panel	legend_said	figure_shows	verified_against	status
Fig. 2	key	the two lighter blues are a locus found in an assembly whose annotation misses it or that has no gene set; grey is a locus the assembly is too fragmented to place	four blues, not two — found+annotated, found unannotated, found with no gene set, and partial locus — and the two greys are assembly gap and ambiguous trace; the fragmentary class is the palest blue, not the grey	scripts/figstyle.py:STATUS_ORDER, results/genome_ledger/ledger_status_counts.tsv	fixed_legend
Fig. 2	whole	evidence class ... as a fraction of the genomes of each vertebrate class	six of the scope's thirteen classes, 302 of 309 genomes; the figure keeps only classes with at least two genomes	results/genome_ledger/genome_ledger.tsv, scripts/s5_figures.py:fig_ledger_by_class	fixed_legend
Fig. 2	key	the absent colour appears nowhere at this scale: four cells (both cyclostomes' ITPR2 and ITPR3) are treated as paralogue-unassignable rather than absent	the ledger does hold those four cells as absent; they are not drawn because Myxini and Hyperoartia have one genome each and the panel drops classes below two. Paralogue-unassignable is S15's re-statement of them, not this figure's	results/genome_ledger/genome_ledger.tsv (4 rows with status=absent, both cyclostomes)	fixed_legend
Fig. 2	whole	Aves carry the most non-blue area	Lepidosauria does, on the fraction the panel plots (0.27 mean against Aves' 0.23); Aves carries the most non-blue cells because it is the largest class	results/genome_ledger/genome_ledger.tsv, results/genome_ledger/contiguity_bar.tsv	fixed_legend
Fig. 3	backbone	the four 100/100 labels on the backbone are the extended paralogue clades	five labels: the two ancestors of each boxed clade, which are the three extended paralogue clades, an inner ITPR1 node of 15 tips, and the 32-tip node uniting ITPR2 and ITPR3	results/phylogeny/rooted.nwk re-walked with scripts/s7_figure.py's own annotate rule	fixed_legend
Fig. 6	a	(no panel is referenced)	a bold panel letter 'a' with no panel b anywhere in the figure	scripts/s17_figures.py:fig_channel_profile	fixed_figure
Fig. 1	grouping	lineages grouped by kingdom	the sweep's taxonomic groups, three of which — SAR, Discoba, Amoebozoa — are not kingdoms	results/s20_sweep/proteome_presence.tsv	fixed_legend
Extended Data Fig. 1	a	the long right tail is three genomes	nine genomes carry more than three complete gene models, and four carry six or more	results/s23_scope/copy_number_ledger.tsv	fixed_legend
Extended Data Fig. 1	b	the grey bar reaching the light bar in every row is the result	the light bar is hidden behind the grey one in every row, so the coincidence the panel exists to show cannot be seen	results/s23_scope/absence_at_genome.tsv	fixed_figure
Extended Data Fig. 1	c	every record sits between 20 % and 46 %	19.9 % to 45.8 %, and a second dashed line at 80 % that the legend does not explain	results/s20_sweep/plant_fungal_verdicts.tsv	fixed_legend
Extended Data Fig. 2	c	against three to six copies for the control	the ryanodine control's most common count is two (33 % of genomes), then three (30 %) and six (21 %)	results/genome_ledger/genome_ledger.tsv	fixed_legend
Extended Data Fig. 3	a	per-column conservation	a rolling mean of 25 columns, and an unexplained dashed mean line	scripts/s6_figures.py	fixed_legend
Extended Data Fig. 7	a	each calibrated node's published age spread drawn as a band	a band on the two nodes a duplication is placed at, and on no other	scripts/s13_figures.py (bands are drawn for `used` nodes only)	fixed_legend
Extended Data Fig. 7	c	each of the 51–53 implied losses	51 to 102: the two support-collapsed variants imply 83 and 102	results/reconciliation/reconciliation_summary.tsv	fixed_legend
Extended Data Fig. 8	a	(the second panel is not described)	two panels: the calibration, and how far each undecided cell's gene is spread across contigs	results/loss_dynamics/figures/s15_reconstruction.png	fixed_legend
Extended Data Fig. 8	c	(not a legend fault)	the two 'below the caller's floor' annotations overlap into unreadable text	results/loss_dynamics/figures/s15_synteny_reach.png	fixed_figure
Extended Data Fig. 8	d	(not a legend fault)	the two heat maps carry independent colour scales, so the single manufactured loss in panel a is drawn as dark as the 45 in panel b	results/loss_counts/sensitivity_matrix.tsv	fixed_figure
Extended Data Fig. 10	a	the 29-structure panel	30 bars: 29 usable structures plus the ITPR2 record AlphaFold DB serves as a 181-residue isoform	results/structures/structure_manifest.tsv (30 rows, 29 status=ok, 1 too_short)	fixed_legend
Extended Data Fig. 10	b	(marker shape is not mentioned)	triangles, circles and squares carry meaning that appears in no key	scripts/s11_figures.py	fixed_figure
Extended Data Fig. 11	a	each protein's own linker mean drawn	one dashed line per panel — the mean over all three proteins' linker controls, not three lines	scripts/s17_figures.py:fig_elements	fixed_legend
Extended Data Fig. 11	c	(not a legend fault)	the four AUCs are printed at mixed precision (0.758 beside 0.6842)	results/constraint/variant_constraint_test.tsv	fixed_figure
Extended Data Fig. 14	c	almost entirely below 1,000 residues, except in the protists	the fungal 1,000–1,999 aa bar is 0.58 and the plant ≥ 2,000 aa bar 0.16; both rest on a dozen to two dozen records	results/methods/head_to_head.tsv	fixed_legend
Extended Data Fig. 7	d	(not a legend fault)	the panel title read 'every one inside its null' when two of the six loci made no call at all, and the right-hand support numbers were unlabelled	results/reconciliation/cyclostome_loci.tsv (4 within_null, 2 no_call)	fixed_figure
Supplementary Fig. 1	c	(not a legend fault)	the palest grey in the quality scale vanished at printed size in the assembled PDF, so one of the two histograms was invisible on the page	manuscript/itpr_family_manuscript.pdf p. 47	fixed_figure
every figure in the project	pdf output	(not a legend fault)	matplotlib stamps the wall clock into a PDF's /CreationDate, so a figure rebuilt from the same code on the same data differed from itself by two bytes and no SHA-256 recorded against a pdf meant anything	two runs of scripts/s24_run.py --only figures; 12 of 12 files now byte-identical	fixed_figure
Fig. 7, Extended Data Figs 9, 12, 13	letters	(**A**) / (**B**)	uppercase panel letters in four figures where every other figure in the set uses lowercase	scripts/s9_figures.py, scripts/s10_figures.py, scripts/s18_figures.py	fixed_figure
