symbol	ensembl_gene	status
DYNC2H1	ENSG00000187240	wanted
DYNC2I1	ENSG00000126870	background
DYNC2I2	ENSG00000119333	background
DYNC2LI1	ENSG00000138036	wanted
DYNLL1	ENSG00000088986	background
DYNLL1P1	ENSG00000205579	background
DYNLL1P2	ENSG00000258605	background
DYNLL1P3	ENSG00000235282	background
DYNLL1P4	ENSG00000257231	background
DYNLL1P5	ENSG00000242151	background
DYNLL1P6	ENSG00000248820	background
DYNLL1P7	ENSG00000230614	background
DYNLL2	ENSG00000264364	background
DYNLL2-DT	ENSG00000266290	background
DYNLRB1	ENSG00000125971	wanted
DYNLRB2	ENSG00000168589	background
DYNLRB2-AS1	ENSG00000259867	background
DYNLT1	ENSG00000146425	wanted
DYNLT2	ENSG00000184786	background
DYNLT2B	ENSG00000213123	background
DYNLT3	ENSG00000165169	background
DYNLT3P1	ENSG00000232241	background
DYNLT3P2	ENSG00000229758	background
DYNLT4	ENSG00000188396	background
DYNLT5	ENSG00000152760	background
DYRK1A	ENSG00000157540	background
DYRK1B	ENSG00000105204	background
DYRK2	ENSG00000127334	background
DYRK3	ENSG00000143479	wanted
DYRK3-AS1	ENSG00000237605	background
DYRK4	ENSG00000010219	wanted
DYSF	ENSG00000135636	background
DYTN	ENSG00000232125	background
DZANK1	ENSG00000089091	background
DZIP1	ENSG00000134874	background
DZIP1L	ENSG00000158163	background
DZIP3	ENSG00000198919	background
E2F1	ENSG00000101412	wanted
E2F2	ENSG00000007968	background
E2F3	ENSG00000112242	background
E2F3-IT1	ENSG00000224707	background
E2F3P1	ENSG00000267046	background
E2F3P2	ENSG00000203435	background
E2F4	ENSG00000205250	background
E2F4P1	ENSG00000231276	background
E2F5	ENSG00000133740	background
E2F5-DT	ENSG00000260493	background
E2F6	ENSG00000169016	wanted
E2F6P1	ENSG00000234764	background
E2F6P2	ENSG00000224688	background
E2F6P3	ENSG00000226885	background
E2F6P4	ENSG00000231513	background
E2F7	ENSG00000165891	background
E2F8	ENSG00000129173	background
E4F1	ENSG00000167967	background
EAF1	ENSG00000144597	background
EAF1-AS1	ENSG00000249786	background
EAF2	ENSG00000145088	background
EAPP	ENSG00000129518	wanted
EARS2	ENSG00000103356	background
EBAG9	ENSG00000147654	background
EBAG9P1	ENSG00000233690	background
EBAG9UORF	ENSG00000289767	background
EBF1	ENSG00000164330	background
EBF2	ENSG00000221818	background
EBF3	ENSG00000108001	background
EBF3-AS1	ENSG00000287997	background
EBF4	ENSG00000088881	background
EBI3	ENSG00000105246	background
EBLN1	ENSG00000223601	background
EBLN2	ENSG00000255423	background
EBLN3P	ENSG00000281649	background
EBNA1BP2	ENSG00000117395	background
EBP	ENSG00000147155	background
EBPL	ENSG00000123179	background
ECD	ENSG00000122882	wanted
ECE1	ENSG00000117298	background
ECE1-AS1	ENSG00000231105	background
ECE2	ENSG00000145194	background
ECEL1	ENSG00000171551	background
ECEL1P1	ENSG00000204121	background
ECEL1P2	ENSG00000224516	background
ECEL1P3	ENSG00000230122	background
ECH1	ENSG00000104823	wanted
ECHDC1	ENSG00000093144	background
ECHDC2	ENSG00000121310	background
ECHDC3	ENSG00000134463	background
ECHS1	ENSG00000127884	wanted
ECI1	ENSG00000167969	background
ECI1-AS1	ENSG00000261663	background
ECI2	ENSG00000198721	background
ECI2-DT	ENSG00000234817	background
ECM1	ENSG00000143369	background
ECM1P1	ENSG00000270639	background
ECM1P2	ENSG00000249995	background
ECM2	ENSG00000106823	background
ECMXP	ENSG00000224963	background
ECPAS	ENSG00000136813	background
ECRG4	ENSG00000119147	background
ECSCR	ENSG00000249751	background
ECSIT	ENSG00000130159	background
ECT2	ENSG00000114346	background
ECT2L	ENSG00000203734	background
EDA	ENSG00000158813	background
EDA2R	ENSG00000131080	background
EDAR	ENSG00000135960	background
EDARADD	ENSG00000186197	wanted
EDC3	ENSG00000179151	background
EDC4	ENSG00000038358	background
EDDM13	ENSG00000267710	background
EDDM3A	ENSG00000181562	background
EDDM3B	ENSG00000181552	background
EDDM3CP	ENSG00000234060	background
EDDM3DP	ENSG00000258963	background
EDEM1	ENSG00000134109	wanted
EDEM2	ENSG00000088298	wanted
EDEM3	ENSG00000116406	background
EDF1	ENSG00000107223	background
EDIL3	ENSG00000164176	background
EDIL3-DT	ENSG00000250320	background
EDN1	ENSG00000078401	background
EDN2	ENSG00000127129	background
EDN3	ENSG00000124205	background
EDNRA	ENSG00000151617	background
EDNRB	ENSG00000136160	background
EDNRB-AS1	ENSG00000225579	background
EDRF1	ENSG00000107938	wanted
EDRF1-AS1	ENSG00000236991	background
EDRF1-DT	ENSG00000224023	background
EEA1	ENSG00000102189	wanted
EED	ENSG00000074266	background
EEDP1	ENSG00000224942	background
EEF1A1	ENSG00000156508	background
EEF1A1-AS1	ENSG00000229862	background
EEF1A1P1	ENSG00000223822	background
EEF1A1P10	ENSG00000243746	background
EEF1A1P11	ENSG00000228502	background
EEF1A1P12	ENSG00000214199	background
EEF1A1P13	ENSG00000250182	background
EEF1A1P14	ENSG00000233057	background
EEF1A1P15	ENSG00000213704	background
EEF1A1P16	ENSG00000213235	background
EEF1A1P17	ENSG00000257907	background
EEF1A1P18	ENSG00000270775	background
EEF1A1P19	ENSG00000249855	background
EEF1A1P2	ENSG00000258841	background
EEF1A1P20	ENSG00000249963	background
EEF1A1P21	ENSG00000249542	background
EEF1A1P22	ENSG00000259612	background
EEF1A1P23	ENSG00000236297	background
EEF1A1P24	ENSG00000223668	background
EEF1A1P25	ENSG00000241429	background
EEF1A1P26	ENSG00000233167	background
EEF1A1P27	ENSG00000179460	background
EEF1A1P28	ENSG00000237709	background
EEF1A1P29	ENSG00000215093	background
EEF1A1P3	ENSG00000232587	background
EEF1A1P30	ENSG00000237757	background
EEF1A1P31	ENSG00000237859	background
EEF1A1P32	ENSG00000213046	background
EEF1A1P33	ENSG00000258846	background
EEF1A1P34	ENSG00000233324	background
EEF1A1P35	ENSG00000250144	background
EEF1A1P36	ENSG00000223912	background
EEF1A1P37	ENSG00000254124	background
EEF1A1P38	ENSG00000261557	background
EEF1A1P39	ENSG00000230125	background
EEF1A1P4	ENSG00000245205	background
EEF1A1P40	ENSG00000231144	background
EEF1A1P41	ENSG00000223600	background
EEF1A1P42	ENSG00000277043	background
EEF1A1P44	ENSG00000236468	background
EEF1A1P45	ENSG00000244503	background
EEF1A1P46	ENSG00000215899	background
EEF1A1P47	ENSG00000255450	background
EEF1A1P48	ENSG00000229239	background
EEF1A1P49	ENSG00000255127	background
EEF1A1P5	ENSG00000196205	background
EEF1A1P50	ENSG00000235253	background
EEF1A1P6	ENSG00000233476	background
EEF1A1P7	ENSG00000268222	background
EEF1A1P8	ENSG00000223529	background
EEF1A1P9	ENSG00000249264	background
EEF1A2	ENSG00000101210	background
EEF1AKMT1	ENSG00000150456	background
EEF1AKMT2	ENSG00000203791	background
EEF1AKMT3	ENSG00000123427	background
EEF1AKMT4	ENSG00000284753	background
EEF1AKMT4-ECE2	ENSG00000284917	background
EEF1B2	ENSG00000114942	background
EEF1B2P1	ENSG00000231169	background
EEF1B2P2	ENSG00000213864	background
EEF1B2P3	ENSG00000232472	background
EEF1B2P4	ENSG00000257119	background
EEF1B2P5	ENSG00000225121	background
EEF1B2P6	ENSG00000213261	background
EEF1B2P7	ENSG00000213055	background
EEF1B2P8	ENSG00000230497	background
EEF1D	ENSG00000104529	background
EEF1DP1	ENSG00000228887	background
EEF1DP2	ENSG00000226721	background
EEF1DP3	ENSG00000229715	background
EEF1DP4	ENSG00000213640	background
EEF1DP5	ENSG00000213130	background
EEF1DP6	ENSG00000229280	background
EEF1DP7	ENSG00000263883	background
EEF1DP8	ENSG00000236607	background
EEF1E1	ENSG00000124802	background
EEF1E1-BLOC1S5	ENSG00000265818	background
EEF1E1P1	ENSG00000236307	background
EEF1G	ENSG00000254772	background
EEF1GP1	ENSG00000186676	background
EEF1GP2	ENSG00000250346	background
EEF1GP3	ENSG00000226845	background
EEF1GP4	ENSG00000240138	background
EEF1GP5	ENSG00000234785	background
EEF1GP6	ENSG00000216518	background
EEF1GP7	ENSG00000236290	background
EEF1GP8	ENSG00000234125	background
EEF2	ENSG00000167658	background
EEF2K	ENSG00000103319	background
EEF2KMT	ENSG00000118894	background
EEFSEC	ENSG00000132394	wanted
EEIG1	ENSG00000167106	background
EEIG2	ENSG00000162636	background
EEPD1	ENSG00000122547	background
EFCAB10	ENSG00000185055	wanted
EFCAB10-AS1	ENSG00000272604	background
EFCAB11	ENSG00000140025	wanted
EFCAB12	ENSG00000172771	wanted
EFCAB13	ENSG00000178852	background
EFCAB13-DT	ENSG00000263293	background
EFCAB14	ENSG00000159658	background
EFCAB14-AS1	ENSG00000228237	background
EFCAB14P1	ENSG00000228348	background
EFCAB15P	ENSG00000233483	background
EFCAB2-AS1	ENSG00000272195	background
EFCAB3	ENSG00000172421	background
EFCAB3P1	ENSG00000272601	background
EFCAB5	ENSG00000176927	background
EFCAB6	ENSG00000186976	background
EFCAB6-AS1	ENSG00000223843	background
EFCAB6-DT	ENSG00000261251	background
EFCAB7	ENSG00000203965	background
EFCAB8	ENSG00000215529	background
EFCAB9	ENSG00000214360	background
EFCC1	ENSG00000114654	wanted
EFEMP1	ENSG00000115380	background
EFEMP2	ENSG00000172638	background
EFHB	ENSG00000163576	background
EFHC1	ENSG00000096093	background
EFHC2	ENSG00000183690	background
EFHD1	ENSG00000115468	wanted
EFHD2	ENSG00000142634	wanted
EFHD2-AS1	ENSG00000228140	background
EFL1	ENSG00000140598	background
EFL1P1	ENSG00000259404	background
EFL1P2	ENSG00000248998	background
EFNA1	ENSG00000169242	background
EFNA2	ENSG00000099617	background
EFNA3	ENSG00000143590	background
EFNA4	ENSG00000243364	background
EFNA4-EFNA3	ENSG00000251246	background
EFNA5	ENSG00000184349	background
EFNB1	ENSG00000090776	background
EFNB2	ENSG00000125266	background
EFNB3	ENSG00000108947	background
EFR3A	ENSG00000132294	background
EFR3B	ENSG00000084710	background
EFS	ENSG00000100842	background
EFTUD2	ENSG00000108883	background
EGF	ENSG00000138798	background
EGFEM1P	ENSG00000206120	background
EGFL6	ENSG00000198759	background
EGFL7	ENSG00000172889	background
EGFL8	ENSG00000241404	background
EGFLAM	ENSG00000164318	background
EGFLAM-AS1	ENSG00000249491	background
EGFLAM-AS2	ENSG00000248572	background
EGFLAM-AS3	ENSG00000249071	background
EGFLAM-AS4	ENSG00000248730	background
EGFLAM-AS5	ENSG00000251257	background
EGFR	ENSG00000146648	background
EGFR-AS1	ENSG00000224057	background
EGILA	ENSG00000258451	background
EGLN1	ENSG00000135766	wanted
EGLN1P1	ENSG00000254779	background
EGLN2	ENSG00000269858	background
EGLN3	ENSG00000129521	background
EGLN3-AS1	ENSG00000258897	background
EGLN3P1	ENSG00000256134	background
EGOT	ENSG00000235947	background
EGR1	ENSG00000120738	background
EGR2	ENSG00000122877	background
EGR3	ENSG00000179388	background
EGR3-AS1	ENSG00000253125	background
EGR4	ENSG00000135625	background
EHBP1	ENSG00000115504	wanted
EHBP1-AS1	ENSG00000231609	background
EHBP1L1	ENSG00000173442	background
EHD1	ENSG00000110047	background
EHD2	ENSG00000024422	wanted
EHD3	ENSG00000013016	wanted
EHD4	ENSG00000103966	wanted
EHD4-AS1	ENSG00000259883	background
EHF	ENSG00000135373	background
EHHADH	ENSG00000113790	background
EHHADH-AS1	ENSG00000223358	background
EHMT1	ENSG00000181090	background
EHMT2	ENSG00000204371	background
EHMT2-AS1	ENSG00000237080	background
EI24	ENSG00000149547	background
EI24P1	ENSG00000236357	background
EI24P2	ENSG00000236257	background
EI24P3	ENSG00000214825	background
EI24P4	ENSG00000236343	background
EI24P6	ENSG00000271413	background
EID1	ENSG00000255302	background
EID2	ENSG00000176396	background
EID2B	ENSG00000176401	background
EID3	ENSG00000255150	background
EIF1	ENSG00000173812	background
EIF1AD	ENSG00000175376	background
EIF1AX	ENSG00000173674	background
EIF1AX-AS1	ENSG00000225037	background
EIF1AXP1	ENSG00000236698	background
EIF1AXP2	ENSG00000258980	background
EIF1AY	ENSG00000198692	background
EIF1B	ENSG00000114784	background
EIF1P1	ENSG00000229875	background
EIF1P2	ENSG00000235549	background
EIF1P3	ENSG00000231684	background
EIF1P4	ENSG00000262154	background
EIF1P5	ENSG00000266563	background
EIF1P6	ENSG00000267938	background
EIF1P7	ENSG00000213772	background
EIF2A	ENSG00000144895	background
EIF2AK1	ENSG00000086232	background
EIF2AK1P1	ENSG00000242479	background
EIF2AK2	ENSG00000055332	background
EIF2AK3	ENSG00000172071	background
EIF2AK3-AS1	ENSG00000225420	background
EIF2AK3-DT	ENSG00000234028	background
EIF2AK4	ENSG00000128829	wanted
EIF2AP4	ENSG00000227395	background
EIF2B1	ENSG00000111361	background
EIF2B2	ENSG00000119718	background
EIF2B3	ENSG00000070785	background
EIF2B4	ENSG00000115211	background
EIF2B5	ENSG00000145191	background
EIF2B5-DT	ENSG00000272721	background
EIF2D	ENSG00000143486	wanted
EIF2S1	ENSG00000134001	background
EIF2S2	ENSG00000125977	background
EIF2S2P1	ENSG00000258778	background
EIF2S2P2	ENSG00000229704	background
EIF2S2P3	ENSG00000236493	background
EIF2S2P4	ENSG00000128692	background
EIF2S2P5	ENSG00000225650	background
EIF2S2P6	ENSG00000254441	background
EIF2S2P7	ENSG00000271115	background
EIF2S3	ENSG00000130741	background
EIF2S3B	ENSG00000180574	background
EIF2S3P1	ENSG00000229305	background
EIF2S3P2	ENSG00000250500	background
EIF3A	ENSG00000107581	background
EIF3B	ENSG00000106263	background
EIF3C	ENSG00000184110	background
EIF3CL	ENSG00000205609	background
EIF3D	ENSG00000100353	background
EIF3E	ENSG00000104408	background
EIF3EP1	ENSG00000234882	background
EIF3EP2	ENSG00000224674	background
EIF3EP4	ENSG00000270554	background
EIF3F	ENSG00000175390	background
EIF3FP1	ENSG00000275945	background
EIF3FP3	ENSG00000233426	background
EIF3G	ENSG00000130811	background
EIF3H	ENSG00000147677	background
EIF3I	ENSG00000084623	background
EIF3IP1	ENSG00000237064	background
EIF3IP2	ENSG00000230520	background
EIF3J	ENSG00000104131	background
EIF3J-DT	ENSG00000179523	background
EIF3JP1	ENSG00000228041	background
EIF3JP2	ENSG00000240477	background
EIF3JP3	ENSG00000237747	background
EIF3K	ENSG00000178982	wanted
EIF3KP1	ENSG00000175749	background
EIF3KP2	ENSG00000233544	background
EIF3KP3	ENSG00000250442	background
EIF3L	ENSG00000100129	background
EIF3LP1	ENSG00000258501	background
EIF3LP2	ENSG00000233837	background
EIF3LP3	ENSG00000226086	background
EIF3M	ENSG00000149100	background
EIF3MP1	ENSG00000236365	background
EIF4A1	ENSG00000161960	background
EIF4A1P1	ENSG00000233300	background
EIF4A1P10	ENSG00000229132	background
EIF4A1P11	ENSG00000231564	background
EIF4A1P12	ENSG00000257662	background
EIF4A1P13	ENSG00000225701	background
EIF4A1P2	ENSG00000235001	background
EIF4A1P3	ENSG00000231018	background
EIF4A1P4	ENSG00000257790	background
EIF4A1P5	ENSG00000226161	background
EIF4A1P6	ENSG00000236608	background
EIF4A1P7	ENSG00000235472	background
EIF4A1P8	ENSG00000213484	background
EIF4A1P9	ENSG00000262953	background
EIF4A2	ENSG00000156976	background
EIF4A2P1	ENSG00000267336	background
EIF4A2P2	ENSG00000227382	background
EIF4A2P3	ENSG00000254589	background
EIF4A2P4	ENSG00000224781	background
EIF4A2P5	ENSG00000255490	background
EIF4A3	ENSG00000141543	wanted
EIF4A3P1	ENSG00000266181	background
EIF4B	ENSG00000063046	background
EIF4BP1	ENSG00000259019	background
EIF4BP2	ENSG00000228753	background
EIF4BP3	ENSG00000224546	background
EIF4BP4	ENSG00000229572	background
EIF4BP5	ENSG00000261336	background
EIF4BP6	ENSG00000197258	background
EIF4BP7	ENSG00000225031	background
EIF4BP8	ENSG00000243918	background
EIF4BP9	ENSG00000237294	background
EIF4E	ENSG00000151247	wanted
EIF4E1B	ENSG00000175766	wanted
EIF4E2	ENSG00000135930	background
EIF4E2P1	ENSG00000213384	background
EIF4E2P2	ENSG00000244157	background
EIF4E3	ENSG00000163412	wanted
EIF4EBP1	ENSG00000187840	background
EIF4EBP1P1	ENSG00000258870	background
EIF4EBP2	ENSG00000148730	wanted
EIF4EBP2P1	ENSG00000233711	background
EIF4EBP2P2	ENSG00000260282	background
EIF4EBP2P3	ENSG00000220505	background
EIF4EBP3	ENSG00000243056	background
EIF4ENIF1	ENSG00000184708	background
EIF4EP1	ENSG00000233578	background
EIF4EP2	ENSG00000229944	background
EIF4EP3	ENSG00000244199	background
EIF4EP4	ENSG00000232968	background
EIF4EP5	ENSG00000214366	background
EIF4G1	ENSG00000114867	background
EIF4G2	ENSG00000110321	background
EIF4G3	ENSG00000075151	background
EIF4H	ENSG00000106682	wanted
EIF4HP1	ENSG00000233830	background
EIF4HP2	ENSG00000237977	background
EIF5	ENSG00000100664	background
EIF5-DT	ENSG00000259775	background
EIF5A	ENSG00000132507	background
EIF5A2	ENSG00000163577	background
EIF5A2P1	ENSG00000260576	background
EIF5AL1	ENSG00000253626	background
EIF5AP2	ENSG00000267679	background
EIF5AP3	ENSG00000267346	background
EIF5AP4	ENSG00000234743	background
EIF5B	ENSG00000158417	background
EIF5P1	ENSG00000215319	background
EIF5P2	ENSG00000275800	background
EIF6	ENSG00000242372	wanted
EIPR1	ENSG00000032389	background
EIPR1-IT1	ENSG00000224885	background
ELAC1	ENSG00000141642	background
ELAC2	ENSG00000006744	background
ELANE	ENSG00000197561	background
ELAPOR1	ENSG00000116299	wanted
ELAPOR2	ENSG00000164659	wanted
ELAVL1	ENSG00000066044	background
ELAVL2	ENSG00000107105	background
ELAVL3	ENSG00000196361	background
ELAVL4	ENSG00000162374	background
ELAVL4-AS1	ENSG00000237337	background
ELDR	ENSG00000280890	background
ELF1	ENSG00000120690	background
ELF2	ENSG00000109381	background
ELF2P1	ENSG00000234345	background
ELF2P2	ENSG00000218027	background
ELF2P3	ENSG00000232743	background
ELF2P4	ENSG00000225406	background
ELF3	ENSG00000163435	wanted
ELF3-AS1	ENSG00000234678	background
ELF4	ENSG00000102034	background
ELF5	ENSG00000135374	background
ELFN1	ENSG00000225968	background
ELFN1-AS1	ENSG00000236081	background
ELFN2	ENSG00000166897	background
ELFN2-AS1	ENSG00000272694	background
ELK1	ENSG00000126767	wanted
ELK1P1	ENSG00000234359	background
ELK2AP	ENSG00000213140	background
ELK2BP	ENSG00000234402	background
ELK3	ENSG00000111145	wanted
ELK4	ENSG00000158711	wanted
ELL	ENSG00000105656	background
ELL2	ENSG00000118985	background
ELL2P1	ENSG00000227295	background
ELL2P2	ENSG00000251051	background
ELL2P3	ENSG00000234765	background
ELL2P4	ENSG00000226388	background
ELL3	ENSG00000128886	background
ELMO1	ENSG00000155849	background
ELMO1-AS1	ENSG00000224101	background
ELMO2	ENSG00000062598	wanted
ELMO2P1	ENSG00000276172	background
ELMO3	ENSG00000102890	background
ELMOD1	ENSG00000110675	wanted
ELMOD2	ENSG00000179387	background
ELMOD3	ENSG00000115459	background
ELN	ENSG00000049540	background
ELN-AS1	ENSG00000232415	background
ELOA	ENSG00000011007	background
ELOA-AS1	ENSG00000236810	background
ELOA2	ENSG00000206181	background
ELOA3BP	ENSG00000288607	background
ELOA3CP	ENSG00000275553	background
ELOA3DP	ENSG00000288616	background
ELOA3P	ENSG00000288631	background
ELOAP1	ENSG00000235640	background
ELOB	ENSG00000103363	background
ELOBP1	ENSG00000234152	background
ELOBP2	ENSG00000255262	background
ELOBP3	ENSG00000232285	background
ELOBP4	ENSG00000234167	background
ELOC	ENSG00000154582	background
ELOCP10	ENSG00000234081	background
ELOCP11	ENSG00000227867	background
ELOCP12	ENSG00000230412	background
ELOCP13	ENSG00000225716	background
ELOCP14	ENSG00000228193	background
ELOCP15	ENSG00000232029	background
ELOCP16	ENSG00000227915	background
ELOCP17	ENSG00000232695	background
ELOCP18	ENSG00000237622	background
ELOCP19	ENSG00000241975	background
ELOCP2	ENSG00000259838	background
ELOCP20	ENSG00000229101	background
ELOCP21	ENSG00000226186	background
ELOCP22	ENSG00000255006	background
ELOCP23	ENSG00000224686	background
ELOCP24	ENSG00000228410	background
ELOCP26	ENSG00000236599	background
ELOCP27	ENSG00000265545	background
ELOCP28	ENSG00000105694	background
ELOCP29	ENSG00000267418	background
ELOCP3	ENSG00000229919	background
ELOCP30	ENSG00000223746	background
ELOCP31	ENSG00000256021	background
ELOCP32	ENSG00000257465	background
ELOCP33	ENSG00000271278	background
ELOCP34	ENSG00000270535	background
ELOCP35	ENSG00000271595	background
ELOCP36	ENSG00000225896	background
ELOCP4	ENSG00000232924	background
ELOCP5	ENSG00000271123	background
ELOCP6	ENSG00000225740	background
ELOCP7	ENSG00000230377	background
ELOCP8	ENSG00000234131	background
ELOCP9	ENSG00000231540	background
ELOF1	ENSG00000130165	background
ELOVL1	ENSG00000066322	background
ELOVL2	ENSG00000197977	background
ELOVL2-AS1	ENSG00000230314	background
ELOVL3	ENSG00000119915	background
ELOVL4	ENSG00000118402	background
ELOVL5	ENSG00000012660	background
ELOVL6	ENSG00000170522	background
ELOVL7	ENSG00000164181	background
ELP1	ENSG00000070061	background
ELP2	ENSG00000134759	background
ELP3	ENSG00000134014	wanted
ELP4	ENSG00000109911	background
ELP4-AS1	ENSG00000228061	background
ELP5	ENSG00000170291	wanted
ELP6	ENSG00000163832	background
ELSPBP1	ENSG00000169393	background
EMB	ENSG00000170571	background
EMBP1	ENSG00000291141	background
EMC1	ENSG00000127463	background
EMC1-AS1	ENSG00000230424	background
EMC10	ENSG00000161671	background
EMC2	ENSG00000104412	background
EMC3	ENSG00000125037	wanted
EMC3-AS1	ENSG00000180385	background
EMC4	ENSG00000128463	wanted
EMC6	ENSG00000127774	background
EMC7	ENSG00000134153	wanted
EMC8	ENSG00000131148	background
EMC9	ENSG00000100908	background
EMCN	ENSG00000164035	background
EMD	ENSG00000102119	background
EME1	ENSG00000154920	wanted
EME2	ENSG00000197774	background
EMG1	ENSG00000126749	background
EMICERI	ENSG00000285103	background
EMID1	ENSG00000186998	background
EMILIN1	ENSG00000138080	background
EMILIN2	ENSG00000132205	background
EMILIN3	ENSG00000183798	background
EML1	ENSG00000066629	background
EML2	ENSG00000125746	wanted
EML2-AS1	ENSG00000267757	background
EML3	ENSG00000149499	background
EML4	ENSG00000143924	background
EML4-AS1	ENSG00000224875	background
EML5	ENSG00000165521	wanted
EML6	ENSG00000214595	background
EML6-AS1	ENSG00000231334	background
EMP1	ENSG00000134531	background
EMP2	ENSG00000213853	background
EMP2P1	ENSG00000231655	background
EMP3	ENSG00000142227	background
EMSLR	ENSG00000232445	background
EMSY	ENSG00000158636	background
EMSY-DT	ENSG00000255135	background
EMX1	ENSG00000135638	background
EMX2	ENSG00000170370	background
EMX2OS	ENSG00000229847	background
EN1	ENSG00000163064	background
EN2	ENSG00000164778	background
EN2-DT	ENSG00000236544	background
ENAH	ENSG00000154380	wanted
ENAHP1	ENSG00000214147	background
ENAM	ENSG00000132464	background
ENC1	ENSG00000171617	background
ENDOD1	ENSG00000149218	background
ENDOG	ENSG00000167136	background
ENDOU	ENSG00000111405	wanted
ENDOV	ENSG00000173818	background
ENEMAL	ENSG00000289883	background
ENG	ENSG00000106991	background
ENGASE	ENSG00000167280	background
ENHO	ENSG00000168913	background
ENHO-AS1	ENSG00000230729	background
ENKD1	ENSG00000124074	wanted
ENKUR	ENSG00000151023	background
ENO1	ENSG00000074800	background
ENO1-AS1	ENSG00000230679	background
ENO1P1	ENSG00000244457	background
ENO1P2	ENSG00000258739	background
ENO1P3	ENSG00000243986	background
ENO1P4	ENSG00000241790	background
ENO2	ENSG00000111674	background
ENO3	ENSG00000108515	background
ENO4	ENSG00000188316	background
ENOPH1	ENSG00000145293	wanted
ENOPH1P1	ENSG00000236182	background
ENOSF1	ENSG00000132199	background
ENOX1	ENSG00000120658	background
ENOX1-AS1	ENSG00000233821	background
ENOX1-AS2	ENSG00000238189	background
ENOX2	ENSG00000165675	background
ENPEP	ENSG00000138792	background
ENPEPP1	ENSG00000255442	background
ENPP1	ENSG00000197594	background
ENPP2	ENSG00000136960	background
ENPP3	ENSG00000154269	background
ENPP4	ENSG00000001561	background
ENPP5	ENSG00000112796	background
ENPP6	ENSG00000164303	background
ENPP7	ENSG00000182156	wanted
ENPP7P1	ENSG00000249188	background
ENPP7P10	ENSG00000249767	background
ENPP7P11	ENSG00000250942	background
ENPP7P12	ENSG00000254527	background
ENPP7P13	ENSG00000261580	background
ENPP7P14	ENSG00000273963	background
ENPP7P15	ENSG00000284605	background
ENPP7P2	ENSG00000239959	background
ENPP7P3	ENSG00000248618	background
ENPP7P4	ENSG00000241278	background
ENPP7P5	ENSG00000256589	background
ENPP7P6	ENSG00000255549	background
ENPP7P7	ENSG00000273819	background
ENPP7P8	ENSG00000255319	background
ENPP7P9	ENSG00000250476	background
ENSA	ENSG00000143420	background
ENSAP1	ENSG00000224274	background
ENSAP2	ENSG00000259032	background
ENSAP3	ENSG00000177261	background
ENTHD1	ENSG00000176177	background
ENTPD1	ENSG00000138185	background
ENTPD1-AS1	ENSG00000226688	background
ENTPD2	ENSG00000054179	background
ENTPD3	ENSG00000168032	background
ENTPD3-AS1	ENSG00000280739	background
ENTPD4	ENSG00000197217	background
ENTPD4-DT	ENSG00000253390	background
ENTPD5	ENSG00000187097	background
ENTPD6	ENSG00000197586	background
ENTPD7	ENSG00000198018	background
ENTPD8	ENSG00000188833	background
ENTR1	ENSG00000165689	background
ENTR1P1	ENSG00000256704	background
ENTR1P2	ENSG00000181101	background
ENTREP1	ENSG00000135063	background
ENTREP2	ENSG00000104059	wanted
ENTREP3	ENSG00000160767	background
ENY2	ENSG00000120533	background
EOGT	ENSG00000163378	wanted
EOGT-DT	ENSG00000244513	background
EOLA1	ENSG00000197620	background
EOLA1-DT	ENSG00000241769	background
EOLA2	ENSG00000197021	background
EOLA2-DT	ENSG00000235703	background
EOMES	ENSG00000163508	background
EP300	ENSG00000100393	background
EP300-AS1	ENSG00000231993	background
EP400	ENSG00000183495	background
EP400P1	ENSG00000185684	background
EPAS1	ENSG00000116016	background
EPB41	ENSG00000159023	background
EPB41L1	ENSG00000088367	background
EPB41L1-AS1	ENSG00000232406	background
EPB41L2	ENSG00000079819	background
EPB41L3	ENSG00000082397	background
EPB41L3-AS1	ENSG00000265316	background
EPB41L4A	ENSG00000129595	background
EPB41L4A-AS1	ENSG00000224032	background
EPB41L4A-DT	ENSG00000278921	background
EPB41L4B	ENSG00000095203	background
EPB41L5	ENSG00000115109	background
EPB42	ENSG00000166947	background
EPC1	ENSG00000120616	background
EPC1-AS1	ENSG00000229327	background
EPC1-AS2	ENSG00000233825	background
EPC2	ENSG00000135999	background
EPCAM	ENSG00000119888	wanted
EPCAM-DT	ENSG00000234690	background
EPCIP	ENSG00000205929	background
EPCIP-AS1	ENSG00000205930	background
EPDR1	ENSG00000086289	background
EPG5	ENSG00000152223	wanted
EPGN	ENSG00000182585	background
EPHA1	ENSG00000146904	background
EPHA1-AS1	ENSG00000229153	background
EPHA10	ENSG00000183317	background
EPHA2	ENSG00000142627	background
EPHA2-AS1	ENSG00000227959	background
EPHA3	ENSG00000044524	background
EPHA4	ENSG00000116106	background
EPHA5	ENSG00000145242	background
EPHA5-AS1	ENSG00000250846	background
EPHA6	ENSG00000080224	background
EPHA7	ENSG00000135333	background
EPHA8	ENSG00000070886	wanted
EPHB1	ENSG00000154928	background
EPHB2	ENSG00000133216	background
EPHB3	ENSG00000182580	background
EPHB4	ENSG00000196411	background
EPHB6	ENSG00000106123	background
EPHX1	ENSG00000143819	wanted
EPHX2	ENSG00000120915	background
EPHX3	ENSG00000105131	background
EPHX4	ENSG00000172031	background
