accession	gene	length_aa	status	protein_name
A0AC58HPX6	LOC101884734	4900	unreviewed	Ryanodine receptor 3-like isoform X1
A0AC58HPV9	LOC101884734	4895	unreviewed	Ryanodine receptor 3-like isoform X2
A0AC58HPW0	LOC101884734	4895	unreviewed	Ryanodine receptor 3-like isoform X3
A0AC58HPW6	LOC101884734	4894	unreviewed	Ryanodine receptor 3-like isoform X4
A0AC58HPZ6	LOC101884734	4890	unreviewed	Ryanodine receptor 3-like isoform X7
A0AC58HPW5	LOC101884734	4889	unreviewed	Ryanodine receptor 3-like isoform X5
A0AC58HQ20	LOC101884734	4889	unreviewed	Ryanodine receptor 3-like isoform X6
A0A8M2BDG0	itpr1a	2711	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0A8M3ATJ5	itpr1a	2710	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58JVG9	itpr1a	2698	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0A8M3B3K9	itpr1a	2696	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0A8M6YZS1	itpr1a	2695	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58JVD9	itpr1a	2695	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58JVI5	itpr1a	2694	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58JVF2	itpr1a	2684	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0A8M3B0M5	itpr1a	2683	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58JVF3	itpr1a	2683	unreviewed	Inositol 1,4,5-trisphosphate receptor
F8W4B1	itpr1a	2682	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58JVG8	itpr1a	2668	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0A8M6Z7H7	itpr1a	2667	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58JVL8	itpr1a	2165	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32TXG4	itpr1b	2819	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32TZL3	itpr1b	2807	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32U276	itpr1b	2807	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32TY48	itpr1b	2806	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32U088	itpr1b	2804	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32TZV0	itpr1b	2795	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTJ1	itpr1b	2794	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTJ8	itpr1b	2792	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTJ2	itpr1b	2792	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTJ3	itpr1b	2791	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTJ0	itpr1b	2782	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTJ4	itpr1b	2781	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32U4T8	itpr1b	2780	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32U2V7	itpr1b	2779	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTK2	itpr1b	2779	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTJ7	itpr1b	2767	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTL9	itpr1b	2767	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTK6	itpr1b	2766	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32U3W1	itpr1b	2764	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTL7	itpr1b	2760	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTK8	itpr1b	2758	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTM3	itpr1b	2757	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32U0W5	itpr1b	2756	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTL3	itpr1b	2756	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTK4	itpr1b	2755	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTK9	itpr1b	2751	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTL8	itpr1b	2749	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTL2	itpr1b	2748	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTL6	itpr1b	2747	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTL5	itpr1b	2746	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTM0	itpr1b	2745	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTL0	itpr1b	2744	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTN7	itpr1b	2742	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTM1	itpr1b	2739	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTN9	itpr1b	2732	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTM8	itpr1b	2730	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTP4	itpr1b	2729	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AC58GTM2	itpr1b	2726	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32U288	itpr1b	2716	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0A8M9PQQ3	itpr2	2665	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0A8M6Z266	itpr3	2635	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0A0R4IH08	itpr3	2634	unreviewed	Inositol 1,4,5-trisphosphate receptor
A0AB32U3K9	ryr1a	5073	unreviewed	Ryanodine receptor 1 isoform X1
A0AC58GMW3	ryr1a	5068	unreviewed	Ryanodine receptor 1 isoform X2
A0AC58GMX4	ryr1a	5067	unreviewed	Ryanodine receptor 1 isoform X4
A0AC58GMX2	ryr1a	5067	unreviewed	Ryanodine receptor 1 isoform X3
A0AC58GMX8	ryr1a	5062	unreviewed	Ryanodine receptor 1 isoform X5
