paralog	core_definition	pore_definition	is_primary	n_tips	n_dropped	mean_core_identity	mean_pore_identity	mean_difference	median_difference	ci95_lo	ci95_hi	n_core_more_conserved	n_pore_more_conserved	n_ties	p_sign	p_wilcoxon	direction	q_wilcoxon
ITPR1	contact_span	channel_minus_luminal	True	260	3	0.9251	0.949	-0.0239	-0.0204	-0.0304	-0.0179	32	223	5	2.05196e-36	2.12443e-34	pore > core	3.64188e-34
ITPR2	contact_span	channel_minus_luminal	True	246	2	0.9063	0.9068	-0.0005	-0.0042	-0.0039	0.0027	85	159	2	2.50483e-06	0.134144	pore > core	0.134144
ITPR3	contact_span	channel_minus_luminal	True	262	2	0.8947	0.9145	-0.0199	-0.0229	-0.0242	-0.0153	42	218	2	7.66945e-30	1.21623e-28	pore > core	1.62164e-28
ITPR1	ibc_literature	channel_minus_luminal	False	260	3	0.9336	0.949	-0.0154	-0.0112	-0.0215	-0.0097	32	223	5	2.05196e-36	1.26909e-30	pore > core	1.90364e-30
ITPR2	ibc_literature	channel_minus_luminal	False	246	2	0.9117	0.9068	0.0049	-0.0003	0.0012	0.0083	113	131	2	0.276427	0.092402	core > pore	0.100802
ITPR3	ibc_literature	channel_minus_luminal	False	262	2	0.9036	0.9145	-0.011	-0.0169	-0.0158	-0.0061	68	192	2	7.21063e-15	1.38094e-12	pore > core	1.65713e-12
ITPR1	contact_span	channel_all	False	260	3	0.9251	0.8701	0.055	0.0602	0.0486	0.0608	253	5	2	4.0353e-68	2.55141e-42	core > pore	1.53085e-41
ITPR2	contact_span	channel_all	False	246	2	0.9063	0.8618	0.0445	0.0417	0.0408	0.0479	239	5	2	4.99659e-64	3.87211e-38	core > pore	7.74422e-38
ITPR3	contact_span	channel_all	False	262	2	0.8947	0.8389	0.0558	0.0612	0.0513	0.0603	251	9	2	1.45598e-62	5.83374e-39	core > pore	1.75012e-38
ITPR1	ibc_literature	channel_all	False	260	3	0.9336	0.8701	0.0635	0.0694	0.0574	0.0691	255	3	2	1.23604e-71	9.63749e-43	core > pore	1.1565e-41
ITPR2	ibc_literature	channel_all	False	246	2	0.9117	0.8618	0.0499	0.0466	0.0459	0.0535	240	4	2	1.03649e-65	9.82524e-39	core > pore	2.35806e-38
ITPR3	ibc_literature	channel_all	False	262	2	0.9036	0.8389	0.0647	0.0678	0.0598	0.0696	252	8	2	5.17805e-64	5.78325e-42	core > pore	2.3133e-41
