path	group	bytes	sha256
results/duplication/biomart_registry.xml	results/duplication	1813	d4a3864538f6fcb1bc98d88803a2fb3c52a5af09d10198ffe4173a07595fa122
results/duplication/block_assignments.tsv	results/duplication	26341	db0b3b45b4e30638b62b6c688672720df78da46b231ca8ffecfec6d041e59ead
results/duplication/copy_number.tsv	results/duplication	146456	b5c5bf43d4ea5404d89b84521392b9f1bb272ce31eb41b31749272092fab8506
results/duplication/copy_number_by_clade.tsv	results/duplication	2209	a058b586feefd9e21b2a6370b0e23eafd3e4c85a6c2e115e0c6eb9544ba1a565
results/duplication/copy_number_wide.tsv	results/duplication	23035	03bc36bc6ad6efaae5d09a89cca79c4fd5958d6b1659a6ff9f0def4a2570fc27
results/duplication/copy_sensitivity.tsv	results/duplication	2448	ca2db40b030700e3bca396ab111f06bc3c601cea944862edc445cfb1fad4f49c
results/duplication/dcs_flanks.tsv	results/duplication	355752	cd07f12f1b6b273d35a44584438041d178c39fd842f7730aa2d2f996f38c4548
results/duplication/dcs_test.tsv	results/duplication	9739	0c5dbdfcf0761e5ca2464d2c8a9dd2b12ec2af753d204608e050c79f87b64e03
results/duplication/dispersion.tsv	results/duplication	355	5d8a0c256f1578324391e422da6a48dc2217c721f25e802c63dde9e953994afe
results/duplication/duplication_stats.json	results/duplication	8985	24c0dfbbb85888cd869ecaa787f70af2a4042531b9c1a9a447fc8e5e17a30267
results/duplication/expansions.tsv	results/duplication	206904	90a1a0c7d7a0fec7ed4602ac6693f5f4d18ca9f6d209b8fd3f58c66f936cce01
results/duplication/figures/s16_blocks.pdf	results/duplication	28410	c5b56a8e0dfb1383438205f6643bf05a764256169198cb0e1ec3810c460269bd
results/duplication/figures/s16_blocks.png	results/duplication	172299	5d7271198679a5dfdef9127b6450af3417a86a306a2651c2f236ab9b28b198e4
results/duplication/figures/s16_copy_number.pdf	results/duplication	17033	3d451adb71e491d5c640fb58b18c8b8cf0f2d1a692634a9649b44061e9564844
results/duplication/figures/s16_copy_number.png	results/duplication	145813	6ee83d9888e4736433fbde90735ea773c2e4ba773d8872efbd975b5d89c82752
results/duplication/figures/s16_dcs.pdf	results/duplication	17491	5ca71b2ed922b52c586f8ef2f74a78d4e5034a3c64465a5223e997abd7065c39
results/duplication/figures/s16_dcs.png	results/duplication	150607	31ae7b2c90da7b2d8dc87c780416ecafdc3aa2dcefbc40cbcd8e4cfecbb6c7c0
results/duplication/figures/s16_paralogon.pdf	results/duplication	13794	a5da1123e9f60ead1641d6e2b54b24c27d319c28c0e94078920661d9cad3a1e8
results/duplication/figures/s16_paralogon.png	results/duplication	155752	59e76cb1df5623c1b3e36777450358f7f96e817aad15b276feac4c15fdaf4818
results/duplication/loci.tsv	results/duplication	614447	af29d031109d6bcf3d658d6351bd3b864b4c9603efda262998a687275eab3d7b
results/duplication/merges.tsv	results/duplication	114	66e6cb9e34752d7c4a728c03c8c2e9eb0394b2543923cea19d08d0cc2bb0dade
results/duplication/paralogon_blocks.tsv	results/duplication	11465	ef2c9c26d727559e2873c6e1c927b95838aef5376d14ea4bcc7e15c46030a614
results/duplication/paralogon_species.tsv	results/duplication	49923	d3a52ef5fe8e935f34d81df69f2d350ec827b70e7fb0fc5b520d60015d0c2d0b
results/duplication/paralogon_species_summary.tsv	results/duplication	668	17b9289a4a5500ac7300907ef685fe5b1664a745f5a82899a78aa784b07acc06
results/duplication/paralogon_test.tsv	results/duplication	12755	2aa6fc4149b6043b1122be1a49f1d41d22f54bb4be687f40d462dad1bce0e084
results/duplication/paralogy_links.tsv	results/duplication	4014	f0d8ba17b3e8bb02cdb3bc05622969bd5bd0d10cb19195781a6049409edcc3b5
results/duplication/paralogy_map.tsv	results/duplication	1266365	43b40e138e69aeeb67a35e43efcf2ba8406452173f0b60fffc6cb9665a8d973e
results/duplication/paralogy_map_notes.md	results/duplication	7351	e6563a1ea1bc2ca6d7610bd7418d532fc2ba558d7b624c372f94cf2a7eeb970d
results/duplication/pooled_test.tsv	results/duplication	1081	51bbdd7567c6dbd2edc7728436f53deaf67b129f6296af35e41f69083670fc7d
results/duplication/quartet_test.tsv	results/duplication	10071	8c14e40c77edeb2be00e700e749ae469dbca7864ab4c1487032cf1faf2471f28
results/duplication/r3_summary.tsv	results/duplication	919	e4bbe548433f2d252a69ae06155e43b96730561c188e63e85860c1eda3831d61
