accession	organism	vclass	vorder	cell	cell_status	contig	start	end	strand	span	mp_id	bait	coverage	identity	frameshifts	stop_codons	cds_bp	contig_spans_gene	contig_n50	headroom	assembly_level	n_genes_longer	annot_max_gene_span	annot_median_gene_span	loss	best_frac_cds	sum_frac_cds	n_fragments	fragment_names	control_strength	eligible	failed_rule	mode	reasons
GCA_014281875.1	Nibea albiflora	Actinopteri		ITPR2	found_unannotated	CM024800.1	12447838	12500306	-	52469	MP000096	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	1.0	0.8663	2	0	8021	True	4420150	84.24	Chromosome	451	203185	3561	1.0	0.0	0	0		2	True		omission	missing_paralog;fragment_only
GCA_013400075.1	Hippolais icterina	Aves	Passeriformes	ITPR1	assembly_gap	VWYN01021473.1	2592	66316	-	63725	MP000009	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.5185	0.9806	0	0	4320	False	64762	1.02	Scaffold	800	722433	5736	1.0	0.0	0	0		1	False	E2		missing_paralog
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR1	found_unannotated	JAAKFY010000006.1	25372485	25435846	-	63362	MP000083	A0A672IUQ7|ITPR1|Salarias_fasciatus	1.0	0.9528	4	0	8228	True	3015437	47.59	Scaffold	1045	404676	7022	1.0	0.0	0	0		1	True		omission	missing_paralog;fragment_only
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	Passeriformes	ITPR3	assembly_gap	VWYY01003676.1	3	11749	-	11747	MP000053	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0.5311	0.8709	0	0	4239	False	77643	6.61	Scaffold	4683	606593	6013	1.0	0.0	0	0		1	False	E2		fragment_only
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	ITPR2	found_unannotated	CM062273.1	21940942	21999811	+	58870	MP000083	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	1.0	0.863	1	0	8074	True	4228958	71.84	Chromosome	292	402556	5222	1.0	0.0	0	0		1	True		omission	fragment_only
GCA_054084135.1	Copsychus sechellarum	Aves	Passeriformes	ITPR3	found_no_annotation	CM133804.1	2574051	2620493	+	46443	MP000050	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9959	0	0	0	True	12529446	269.78	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_023764695.1	Pygathrix nigripes	Mammalia	Primates	ITPR1	found_no_annotation	JAKFHG010001683.1	27382676	27716057	+	333382	MP000001	Q14643|ITPR1|Homo_sapiens|ITPR1	1.0	0.9956	1	0	0	True	14260291	42.77	Contig	0	0	0	1.0	0.0	0	0		0	False	E1		fragment_only
GCA_058224745.1	Acrocephalus arundinaceus	Aves	Passeriformes	ITPR3	found_no_annotation	JAWJJZ010000071.1	234358	294993	+	60636	MP000053	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9948	0	0	0	True	14738253	243.06	Scaffold	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog
GCA_056776345.1	Spizella passerina	Aves	Passeriformes	ITPR3	found_no_annotation	CM165329.1	2783550	2828148	+	44599	MP000054	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	1.0	0.9946	1	0	0	True	5055426	113.35	Chromosome	0	0	0	1.0	0.0	0	0		0	False	E1		missing_paralog;fragment_only
GCA_013401035.1	Horornis vulcanius	Aves	Passeriformes	ITPR3	assembly_gap	VZUA01404057.1	194	3782	+	3589	MP000139	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0.2019	0.9944	0	0	1617	False	3129	0.87	Scaffold	3837	162714	2367	1.0	0.0	0	0		0	False	E2		missing_paralog;fragment_only
