case_id	accession	cell	exon_index	start	end	length	q_start	q_end	aln_identity	phase	class	annot_gene	annot_gene_id	annot_biotype	annot_pseudo	annot_cds_overlap_bp	annot_cds_overlap_frac
case_a	GCA_014281875.1	ITPR2	1	12500215	12500306	92	1	30	0.9677	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	2	12495734	12495804	71	31	54	0.9167	1	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	3	12495291	12495409	119	55	93	0.9231	2	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	4	12495116	12495202	87	94	122	0.8966	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	5	12494161	12494319	159	123	175	1.0	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	6	12493249	12493347	99	176	208	0.9697	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	7	12492948	12493031	84	209	236	0.8929	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	8	12492633	12492779	147	237	285	0.9388	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	9	12491778	12491873	96	286	317	0.9688	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	10	12491367	12491411	45	318	335	0.3889	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	11	12489508	12489659	152	336	385	0.9216	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	12	12488688	12488787	100	386	419	0.9697	1	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	13	12488428	12488588	161	420	472	0.8333	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	14	12488192	12488333	142	473	520	0.9574	1	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	15	12487845	12488003	159	521	573	0.8113	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	16	12486262	12486434	173	574	630	0.9138	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	17	12485813	12485932	120	631	670	0.975	1	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	18	12485387	12485569	183	671	732	0.7419	1	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	19	12484962	12485213	252	733	816	0.9048	1	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	20	12484726	12484873	148	817	866	0.8163	1	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	21	12484488	12484639	152	867	916	0.7987	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	22	12483550	12483737	188	917	979	0.871	2	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	23	12483344	12483467	124	980	1020	0.7619	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	24	12483167	12483250	84	1021	1045	0.4286	2	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	25	12482894	12483054	161	1046	1099	0.8491	2	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	26	12482391	12482558	168	1100	1155	0.75	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	27	12481749	12481835	87	1156	1184	0.7931	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	28	12481539	12481664	126	1185	1226	0.881	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	29	12481319	12481441	123	1227	1267	0.878	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	30	12480822	12481022	201	1268	1334	0.9403	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	31	12480448	12480699	252	1335	1435	0.6832	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	32	12480233	12480358	126	1436	1477	0.9524	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	33	12479906	12480034	129	1478	1520	0.8837	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	34	12479468	12479588	121	1521	1560	0.878	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	35	12479175	12479356	182	1561	1621	0.9	2	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	36	12478683	12478825	143	1622	1668	0.9375	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	37	12477999	12478107	109	1669	1705	0.8056	1	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	38	12467891	12468011	121	1706	1745	0.8926	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	39	12467436	12467606	171	1746	1802	0.7368	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	40	12467113	12467293	181	1803	1862	0.8689	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	41	12466237	12466490	254	1863	1947	0.881	2	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	42	12465929	12466129	201	1948	2014	0.9403	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	43	12465281	12465391	111	2015	2051	0.8919	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	44	12464847	12464942	96	2052	2083	0.9375	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	45	12464568	12464687	120	2084	2123	0.775	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	46	12462550	12462672	123	2124	2168	0.7333	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	47	12462206	12462398	193	2169	2232	0.9385	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	48	12461882	12462007	126	2233	2274	0.9286	2	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	49	12460235	12460410	176	2275	2333	0.931	2	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	50	12459964	12460128	165	2334	2388	0.9636	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	51	12459636	12459861	226	2389	2471	0.6786	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	52	12457110	12457231	122	2472	2512	0.975	2	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	53	12456851	12457016	166	2513	2567	0.9643	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	54	12456595	12456755	161	2568	2621	0.9245	2	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	55	12449618	12449779	162	2622	2675	0.9074	0	intergenic				0	0	0.0
case_a	GCA_014281875.1	ITPR2	56	12447838	12447918	81	2676	2701	0.9231	0	intergenic				0	0	0.0
case_b	GCA_031216635.1	ITPR3	1	8242005	8242096	92	1	30	0.9677	0	in_annotated_cds	KUDE01_018062	gene-KUDE01_018062	protein_coding	0	92	1.0
case_b	GCA_031216635.1	ITPR3	2	8229125	8229195	71	31	54	0.9583	1	in_annotated_cds	KUDE01_018062	gene-KUDE01_018062	protein_coding	0	71	1.0
case_b	GCA_031216635.1	ITPR3	3	8225458	8225579	122	55	95	0.95	2	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	122	1.0
case_b	GCA_031216635.1	ITPR3	4	8224402	8224488	87	96	124	0.931	0	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	87	1.0
case_b	GCA_031216635.1	ITPR3	5	8220924	8221082	159	125	177	0.9811	0	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	144	0.9057
case_b	GCA_031216635.1	ITPR3	6	8219936	8220034	99	178	210	0.9697	0	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	99	1.0
case_b	GCA_031216635.1	ITPR3	7	8219751	8219834	84	211	238	0.9286	0	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	84	1.0
case_b	GCA_031216635.1	ITPR3	8	8219072	8219218	147	239	287	0.9592	0	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	147	1.0
case_b	GCA_031216635.1	ITPR3	9	8218796	8218891	96	288	319	0.9688	0	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	96	1.0
case_b	GCA_031216635.1	ITPR3	10	8218323	8218366	44	320	334	0.6	0	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	41	0.9318
case_b	GCA_031216635.1	ITPR3	11	8218004	8218143	140	335	381	0.875	0	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	129	0.9214
case_b	GCA_031216635.1	ITPR3	12	8217426	8217525	100	382	415	0.9697	1	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	100	1.0
case_b	GCA_031216635.1	ITPR3	13	8217044	8217204	161	416	468	0.8704	0	in_annotated_cds	KUDE01_017523	gene-KUDE01_017523	protein_coding	0	161	1.0
