label	accession	rule	cell	group	paralog	paralog_raw	paralog_source	family_call	species	taxon_id	band	census_group	kingdom	phylum	class	order	length	n_itpr_arch	fragment	reviewed	protein_existence	profile_confidence	itpr_score	ryr_score	rel_margin	source	db_status	genome_accession	copy_index	copy_number	shape_note	decided_by	runner_up	n_candidates	seq_store	seq_length	x_count
ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0	A0ABM4F3U0	R1	ITPR1@aves	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Apteryx mantelli (North Island brown kiwi)	2696672	aves	Vertebrata	Metazoa	Chordata	Aves	Apterygiformes	2750	5		0	Inferred from homology	high	4430.4	426.4	0.9038	InterPro						is_bait	A0A8V0ZJV7	179	s2_seeded	2750	0
ITPR1_Bos_taurus_Bovine_Q9TU34	Q9TU34	R1	ITPR1@mammalia	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Bos taurus (Bovine)	9913	mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Artiodactyla	2709	5		1	Evidence at protein level	high	4411.5	427.3	0.9031	InterPro						length_fit	P29994	394	s2_seeded	2709	1
ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7	A0A6J2VNY7	R2	3R:itpr1a@Chanos	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Chanos chanos (Milkfish) (Mugil chanos)	29144	actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri	Gonorynchiformes	2694	5		0	Inferred from homology	high	4293.7	421.8	0.9018	InterPro						sole_candidate		1	s2_seeded	2694	0
ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0	A0A6J2VJN0	R2	3R:itpr1b@Chanos	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Chanos chanos (Milkfish) (Mugil chanos)	29144	actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri	Gonorynchiformes	2716	5		0	Inferred from homology	high	4377.0	394.5	0.9099	InterPro						sole_candidate		1	s2_seeded	2716	0
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0	A0A8M2BDG0	R1	ITPR1@actinopteri	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	2711	5		0	Inferred from homology	high	4289.4	432.1	0.8993	InterPro						length_fit	A0A672IUQ7	471	s2_seeded	2711	0
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8	A0AC58JVG8	R2	3R:itpr1a@Danio	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	2668	5		0	Inferred from homology	high	4291.2	436.5	0.8983	InterPro						length_fit	A0A8M6Z7H7	13	s2_seeded	2668	0
ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288	A0AB32U288	R2	3R:itpr1b@Danio	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	actinopteri	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	2716	5		0	Inferred from homology	high	4333.5	390.9	0.9098	InterPro						length_fit	A0AC58GTM2	39	s2_seeded	2716	0
ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0	A0A8V0ZJT0	R1	ITPR1@aves	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Gallus gallus (Chicken)	9031	aves	Vertebrata	Metazoa	Chordata	Aves	Galliformes	2779	5		0	Evidence at protein level	high	4413.3	430.1	0.9025	InterPro						protein_existence	A0ABM4F3U0	179	s2_seeded	2779	0
ITPR1_Homo_sapiens_Human_Q14643	Q14643	R1	forced:Hs_ITPR1_Q14643	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Homo sapiens (Human)	9606	mammalia	Vertebrata	Metazoa	Chordata	Mammalia	Primates	2758	5		1	Evidence at protein level	high	4442.9	436.2	0.9018	InterPro						forced		1	s2_seeded	2758	0
ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5	H3A1P5	R1	ITPR1@sarcopterygian_fish	ITPR1	ITPR1	ITPR1	gene_symbol	ITPR	Latimeria chalumnae (Coelacanth)	7897	sarcopterygian_fish	Vertebrata	Metazoa	Chordata		Coelacanthiformes	2725	5		0	Inferred from homology	high	4112.7	409.4	0.9005	InterPro						sole_candidate		1	s2_seeded	2725	0
