bait	bait_paralog	bait_clade	bait_family	cell	reference	bait_len	mapped_residues	frac_bait_on_ref	pair_identity	usable	frame_via_cell
A0A3Q0HBW9	RYR2	RYR	RYR	RYR	Q92736	4986	4947	0.9922	0.9367	1	0
A0A4W3GWE7	ITPR3	ITPR3	ITPR	ITPR1	Q14643	2630	2546	0.9681	0.6563	1	0
A0A4W3GWE7	ITPR3	ITPR3	ITPR	ITPR2	Q14571	2630	2551	0.97	0.6825	1	0
A0A4W3GWE7	ITPR3	ITPR3	ITPR	ITPR3	Q14573	2630	2575	0.9791	0.7996	1	0
A0A4W3I1N0		RYR	RYR	RYR	Q92736	4982	4865	0.9765	0.6999	1	0
A0A4W3JHJ0		vertebrate_basal	ITPR	ITPR1	Q14643	2683	2656	0.9899	0.8547	1	1
A0A4W3JHJ0		vertebrate_basal	ITPR	ITPR2	Q14571	2683	2603	0.9702	0.7	1	1
A0A4W3JHJ0		vertebrate_basal	ITPR	ITPR3	Q14573	2683	2540	0.9467	0.6394	1	1
A0A670JBK6	ITPR1	ITPR1	ITPR	ITPR1	Q14643	2747	2744	0.9989	0.9388	1	0
A0A670JBK6	ITPR1	ITPR1	ITPR	ITPR2	Q14571	2747	2672	0.9727	0.71	1	0
A0A670JBK6	ITPR1	ITPR1	ITPR	ITPR3	Q14573	2747	2621	0.9541	0.6528	1	0
A0A672IUQ7	ITPR1	ITPR1	ITPR	ITPR1	Q14643	2748	2722	0.9905	0.8729	1	0
A0A672IUQ7	ITPR1	ITPR1	ITPR	ITPR2	Q14571	2748	2680	0.9753	0.6948	1	0
A0A672IUQ7	ITPR1	ITPR1	ITPR	ITPR3	Q14573	2748	2628	0.9563	0.6461	1	0
A0A672UP22	ITPR2	ITPR2	ITPR	ITPR1	Q14643	2700	2669	0.9885	0.7182	1	0
A0A672UP22	ITPR2	ITPR2	ITPR	ITPR2	Q14571	2700	2698	0.9993	0.9348	1	0
A0A672UP22	ITPR2	ITPR2	ITPR	ITPR3	Q14573	2700	2627	0.973	0.6734	1	0
A0A6I8Q6P7	RYR1	RYR	RYR	RYR	Q92736	5037	4893	0.9714	0.7002	1	0
A0A6I8RGU0	ITPR2	ITPR2	ITPR	ITPR1	Q14643	2705	2662	0.9841	0.7134	1	0
A0A6I8RGU0	ITPR2	ITPR2	ITPR	ITPR2	Q14571	2705	2696	0.9967	0.885	1	0
A0A6I8RGU0	ITPR2	ITPR2	ITPR	ITPR3	Q14573	2705	2619	0.9682	0.6747	1	0
A0A6J0TV85	ITPR3	ITPR3	ITPR	ITPR1	Q14643	2666	2620	0.9827	0.6569	1	0
A0A6J0TV85	ITPR3	ITPR3	ITPR	ITPR2	Q14571	2666	2624	0.9842	0.6818	1	0
A0A6J0TV85	ITPR3	ITPR3	ITPR	ITPR3	Q14573	2666	2663	0.9989	0.8821	1	0
A0A7K6LHC3	ITPR3	ITPR3	ITPR	ITPR1	Q14643	2670	2622	0.982	0.659	1	0
A0A7K6LHC3	ITPR3	ITPR3	ITPR	ITPR2	Q14571	2670	2621	0.9816	0.6791	1	0
A0A7K6LHC3	ITPR3	ITPR3	ITPR	ITPR3	Q14573	2670	2662	0.997	0.8944	1	0
A0A8C6KWV8	ITPR3	ITPR3	ITPR	ITPR1	Q14643	2670	2603	0.9749	0.6439	1	0
A0A8C6KWV8	ITPR3	ITPR3	ITPR	ITPR2	Q14571	2670	2610	0.9775	0.6609	1	0
A0A8C6KWV8	ITPR3	ITPR3	ITPR	ITPR3	Q14573	2670	2629	0.9846	0.7706	1	0
A0A8J0SYK9	ITPR3	ITPR3	ITPR	ITPR1	Q14643	2673	2621	0.9805	0.6414	1	0
A0A8J0SYK9	ITPR3	ITPR3	ITPR	ITPR2	Q14571	2673	2626	0.9824	0.6679	1	0
A0A8J0SYK9	ITPR3	ITPR3	ITPR	ITPR3	Q14573	2673	2654	0.9929	0.8384	1	0
A0A8J0T3U5	ITPR1	ITPR1	ITPR	ITPR1	Q14643	2743	2730	0.9953	0.8996	1	0
A0A8J0T3U5	ITPR1	ITPR1	ITPR	ITPR2	Q14571	2743	2667	0.9723	0.7042	1	0
A0A8J0T3U5	ITPR1	ITPR1	ITPR	ITPR3	Q14573	2743	2616	0.9537	0.6468	1	0
A0A8M2BDG0	ITPR1	ITPR1	ITPR	ITPR1	Q14643	2711	2702	0.9967	0.8349	1	0
A0A8M2BDG0	ITPR1	ITPR1	ITPR	ITPR2	Q14571	2711	2664	0.9827	0.6821	1	0
A0A8M2BDG0	ITPR1	ITPR1	ITPR	ITPR3	Q14573	2711	2602	0.9598	0.6441	1	0
A0A8M6Z266	ITPR3	ITPR3	ITPR	ITPR1	Q14643	2635	2591	0.9833	0.6411	1	0
A0A8M6Z266	ITPR3	ITPR3	ITPR	ITPR2	Q14571	2635	2596	0.9852	0.6529	1	0
A0A8M6Z266	ITPR3	ITPR3	ITPR	ITPR3	Q14573	2635	2608	0.9898	0.7627	1	0
A0A8M9PQQ3	ITPR2	ITPR2	ITPR	ITPR1	Q14643	2665	2647	0.9932	0.6649	1	0
A0A8M9PQQ3	ITPR2	ITPR2	ITPR	ITPR2	Q14571	2665	2658	0.9974	0.76	1	0
A0A8M9PQQ3	ITPR2	ITPR2	ITPR	ITPR3	Q14573	2665	2593	0.973	0.6402	1	0
A0A8V0Y8K1	RYR2	RYR	RYR	RYR	Q92736	4968	4946	0.9956	0.9391	1	0
A0A8V0ZJT0	ITPR1	ITPR1	ITPR	ITPR1	Q14643	2779	2746	0.9881	0.9483	1	0
A0A8V0ZJT0	ITPR1	ITPR1	ITPR	ITPR2	Q14571	2779	2676	0.9629	0.7126	1	0
A0A8V0ZJT0	ITPR1	ITPR1	ITPR	ITPR3	Q14573	2779	2624	0.9442	0.6505	1	0
A0A8V1ACE6	ITPR3	ITPR3	ITPR	ITPR1	Q14643	2664	2620	0.9835	0.6565	1	0
A0A8V1ACE6	ITPR3	ITPR3	ITPR	ITPR2	Q14571	2664	2623	0.9846	0.6782	1	0
A0A8V1ACE6	ITPR3	ITPR3	ITPR	ITPR3	Q14573	2664	2662	0.9992	0.9001	1	0
A0AAJ7U4X1		vertebrate_basal	ITPR	ITPR1	Q14643	2838	2705	0.9531	0.7689	1	1
A0AAJ7U4X1		vertebrate_basal	ITPR	ITPR2	Q14571	2838	2690	0.9479	0.6885	1	1
A0AAJ7U4X1		vertebrate_basal	ITPR	ITPR3	Q14573	2838	2617	0.9221	0.6473	1	1
A0AAJ7XD62		RYR	RYR	RYR	Q92736	5168	4892	0.9466	0.7302	1	0
A0AAX7UHL1	ITPR2	ITPR2	ITPR	ITPR1	Q14643	2701	2652	0.9819	0.6731	1	0
A0AAX7UHL1	ITPR2	ITPR2	ITPR	ITPR2	Q14571	2701	2660	0.9848	0.7658	1	0
A0AAX7UHL1	ITPR2	ITPR2	ITPR	ITPR3	Q14573	2701	2603	0.9637	0.6443	1	0
A0ABM1LG32	ITPR2	ITPR2	ITPR	ITPR1	Q14643	2701	2669	0.9882	0.7089	1	0
A0ABM1LG32	ITPR2	ITPR2	ITPR	ITPR2	Q14571	2701	2700	0.9996	0.907	1	0
A0ABM1LG32	ITPR2	ITPR2	ITPR	ITPR3	Q14573	2701	2622	0.9708	0.6773	1	0
A0ABM4F3U0	ITPR1	ITPR1	ITPR	ITPR1	Q14643	2750	2746	0.9985	0.9483	1	0
A0ABM4F3U0	ITPR1	ITPR1	ITPR	ITPR2	Q14571	2750	2676	0.9731	0.7119	1	0
