accession	organism	vclass	cell	detector_fires	n_pairs	n_within_locus	n_tandem	n_dispersed	s16_copies	s16_same_contig_copies	truth_duplicated	agreement
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_000699545.1	Podiceps cristatus	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_000699945.1	Cathartes aura	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_000699945.1	Cathartes aura	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_000699945.1	Cathartes aura	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_000699945.1	Cathartes aura	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	1	15	0	0	15	3	0	1	tp
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_002844005.1	Limosa lapponica baueri	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_002909625.1	Bambusicola thoracicus	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	RYR	1	13	0	0	13	3	0	1	tp
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	RYR	1	3	0	0	3	1	0	0	fp
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_006937325.1	Anomalopteryx didiformis	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_006937325.1	Anomalopteryx didiformis	Aves	RYR	0	0	0	0	0	2	0	1	fn
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_007760645.1	Sousa chinensis	Mammalia	ITPR2	0	0	0	0	0	1	0	0	tn
