accession	organism	vclass	vorder	cell	locus_idx	mp_id	bait	bait_paralog	frame_via_cell	reference	strand	contig	start	end	coverage	identity	q_start	q_end	residues	n_blocks	n_exons	n_merges	n_introns	frame_steps	cds_bp	span_bp	total_intron_bp	median_intron_bp	max_intron_bp	min_intron_bp_seen	mean_exon_bp	frame_balance_bp	canonical_junctions	minor_junctions	non_canonical_junctions	frac_canonical	in_scope	excluded_by
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	ITPR1	0	MP000006	A0A8V0ZJT0	ITPR1	0	Q14643	+	JMFS01131396.1	4289	29317	0.3343	0.9925	81	1009	929	20	20	0	19	0	2787	25029	22242	1239	3507	83	139.35	0	19	0	0	1	0	A1_not_a_gene_copy
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	ITPR2	0	MP000062	A0A672UP22	ITPR2	0	Q14571	+	KL263936.1	21481	98516	0.387	0.9542	1656	2700	1045	20	20	0	19	0	3123	77036	73913	1943	21267	596	156.15	-15	18	1	0	1	0	A1_not_a_gene_copy
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	ITPR3	0	MP000028	A0A8V1ACE6	ITPR3	0	Q14573	-	KL257532.1	5164	25874	0.8239	0.9903	470	2664	2195	45	45	0	44	1	6589	20711	14122	261	942	84	146.42	1	43	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	RYR	1	MP000074	A0A3Q0HBW9	RYR2	0	Q92736	-	JMFS01114174.1	154	75495	0.4394	0.6926	2767	4957	2191	49	49	0	48	0	6591	75342	68751	1054.5	7540	107	134.51	18	47	1	0	1	0	A1_not_a_gene_copy
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	RYR	2	MP000046	A0A8V0Y8K1	RYR2	0	Q92736	-	KL256588.1	10269	62184	0.2353	0.976	3800	4968	1169	22	22	0	21	0	3510	51916	48406	1578	9513	389	159.55	0	21	0	0	1	0	A1_not_a_gene_copy
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	RYR	0	MP000044	A0A8V0Y8K1	RYR2	0	Q92736	+	KL283962.1	1118	101573	0.4775	0.9836	349	2720	2372	41	41	0	40	0	7122	100456	93334	1234	10177	121	173.71	6	40	0	0	1	0	A1_not_a_gene_copy
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	ITPR2	0	MP000063	A0A672UP22	ITPR2	0	Q14571	-	KL291012.1	81303	160284	0.3752	0.9852	1688	2700	1013	20	20	0	19	0	3039	78982	75943	2088	21251	595	151.95	-3	18	1	0	1	0	A1_not_a_gene_copy
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	ITPR3	0	MP000027	A0A8V1ACE6	ITPR3	0	Q14573	+	KL301852.1	588	20471	0.7477	0.9781	238	2229	1992	42	42	0	41	0	6030	19884	13854	263	1240	82	143.57	54	40	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	0	MP000044	A0A8V0Y8K1	RYR2	0	Q92736	+	KL299849.1	2339	87205	0.4831	0.9858	1214	3613	2400	46	46	0	45	0	7206	84867	77661	1310	5156	122	156.65	6	45	0	0	1	0	A1_not_a_gene_copy
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	1	MP000045	A0A8V0Y8K1	RYR2	0	Q92736	-	KL309451.1	1729	34912	0.2593	0.7195	3681	4968	1288	27	27	0	26	1	3890	33184	29294	797	3484	111	144.07	23	25	1	0	1	0	A1_not_a_gene_copy
